id,cf1,cf2,cf3
1,0.16,1.97,4.95
2,0.57,2.34,4.45
3,0.76,2.63,5.16
4,0.8,4.55,3.85
5,0.86,2.69,3.18
6,1.17,3.77,4.06
7,1.54,3.52,3.65
8,1.78,2.56,3.32
9,0.95,3.11,5.5
10,2.01,4.93,4.18
11,0.59,2.41,3.25
12,1.2,2.75,3.86
13,1.23,2.82,3.18
14,0.86,2.25,4.9
15,0.61,2.06,4.18
16,1.25,1.89,3.04
17,0.88,1.25,2.91
18,0.52,0.99,3.06
19,0.73,0.49,2.59
20,0.52,0.0,2.11
21,0.5,2.19,3.4
22,0.68,3.09,5.6
23,0.79,2.63,4.4
24,0.93,2.79,3.36
25,1.19,2.83,3.99
26,1.19,3.68,4.0
27,1.33,3.89,3.63
28,2.22,4.53,4.27
29,1.5,3.6,5.49
30,1.98,3.2,4.76
31,1.67,4.06,5.17
32,1.57,2.92,3.69
33,1.62,2.98,5.43
34,1.23,2.2,4.49
35,1.61,2.5,3.78
36,1.08,2.1,3.79
37,1.08,1.8,2.76
38,0.78,1.12,3.56
39,0.71,1.05,3.31
40,0.62,0.43,2.55
41,0.42,2.97,2.96
42,1.07,4.18,2.83
43,0.89,4.34,7.8
44,1.39,3.08,4.7
45,1.32,3.25,3.47
46,0.93,4.46,4.22
47,1.89,5.23,4.65
48,1.6,4.74,4.06
49,1.4,5.07,5.79
50,1.8,4.2,6.9
51,1.74,4.46,5.28
52,2.01,4.65,4.8
53,1.6,2.08,2.53
54,1.76,1.81,3.09
55,2.23,2.15,3.7
56,1.06,2.7,5.87
57,1.19,2.54,3.67
58,0.85,1.7,1.88
59,0.67,0.92,1.74
60,0.48,0.64,3.1
61,0.65,3.95,7.08
62,0.96,4.46,4.61
63,1.21,4.51,5.32
64,1.01,3.73,4.62
65,1.47,5.05,4.05
66,1.94,7.16,6.75
67,2.18,4.43,3.82
68,2.49,5.63,6.52
69,2.83,6.24,3.41
70,2.37,5.44,5.23
71,1.78,3.5,4.33
72,1.82,3.15,4.04
73,2.36,3.25,3.14
74,1.25,2.72,4.66
75,1.78,3.7,3.52
76,1.38,2.97,1.89
77,1.51,2.58,3.41
78,0.9,1.93,3.75
79,0.72,1.4,2.98
80,0.88,1.17,3.34
81,0.43,3.33,5.58
82,0.93,5.82,3.28
83,1.22,3.52,3.8
84,1.33,6.11,5.11
85,1.46,5.73,4.01
86,1.43,5.14,3.85
87,2.27,6.31,5.16
88,2.29,5.12,5.55
89,2.14,5.72,5.73
90,2.69,4.56,6.89
91,2.2,4.46,4.77
92,1.86,3.45,4.95
93,2.19,3.81,4.15
94,2.76,4.37,2.86
95,1.41,3.4,3.8
96,1.08,3.54,2.72
97,1.21,3.23,2.65
98,1.14,1.56,3.46
99,1.16,1.48,1.93
100,0.69,1.48,2.87
101,0.72,5.18,4.93
102,1.07,3.84,5.06
103,1.41,6.95,3.39
104,1.75,4.13,3.75
105,1.29,6.91,3.64
106,2.02,6.03,5.46
107,1.98,5.24,4.76
108,1.64,5.57,4.66
109,2.87,6.95,5.43
110,2.42,5.23,5.68
111,3.45,5.39,5.5
112,1.68,4.37,3.88
113,2.35,5.6,4.02
114,1.85,3.7,3.09
115,1.99,4.34,4.71
116,1.89,3.74,3.45
117,2.04,3.54,1.5
118,1.44,2.2,3.65
119,0.88,2.39,3.23
120,0.59,1.47,2.33
121,0.72,5.45,4.64
122,0.48,4.98,2.91
123,1.24,6.45,3.53
124,1.05,4.45,5.7
125,1.66,6.94,4.42
126,2.64,7.0,3.5
127,2.39,4.1,4.95
128,2.41,6.03,2.77
129,2.94,7.33,4.77
130,3.41,9.67,4.27
131,2.52,5.95,5.88
132,3.24,6.31,5.05
133,1.8,3.98,3.24
134,2.31,4.65,2.95
135,2.24,3.83,3.13
136,2.01,3.56,3.35
137,1.77,3.53,3.41
138,1.39,1.84,3.73
139,0.85,2.51,3.18
140,0.5,1.88,1.97
141,0.62,5.28,3.83
142,1.18,4.34,4.14
143,1.32,5.24,4.49
144,1.34,6.51,6.11
145,1.54,7.75,3.64
146,1.88,5.61,3.65
147,2.37,11.04,4.9
148,1.71,7.87,3.87
149,2.91,5.06,4.96
150,3.43,8.87,3.8
151,3.78,7.16,4.01
152,3.13,5.55,4.61
153,2.04,5.64,4.29
154,2.13,4.83,3.92
155,1.28,5.66,3.35
156,1.47,5.12,3.25
157,1.25,2.89,2.55
158,1.31,3.14,2.64
159,0.97,2.62,3.43
160,0.65,1.19,2.37
161,1.04,5.68,3.59
162,1.0,5.15,4.59
163,0.88,6.3,4.54
164,1.74,6.54,4.03
165,1.64,9.11,3.12
166,1.74,10.17,4.28
167,2.28,6.03,4.32
168,2.54,4.84,5.1
169,2.82,9.3,2.42
170,3.12,6.21,3.67
171,2.28,6.82,4.83
172,2.74,5.21,3.42
173,1.67,6.06,4.19
174,2.08,6.04,3.66
175,1.88,5.5,3.33
176,1.76,4.16,3.39
177,1.42,3.49,3.29
178,1.5,3.38,2.29
179,1.39,3.19,3.1
180,0.6,2.64,2.46
181,0.85,4.71,4.07
182,0.86,5.51,3.35
183,0.91,8.67,2.49
184,1.19,6.99,3.81
185,1.18,8.93,3.47
186,1.26,8.2,2.07
187,2.34,6.92,1.75
188,2.29,8.33,3.06
189,1.83,3.76,4.11
190,3.02,6.23,3.94
191,2.54,8.19,3.21
192,2.33,7.42,4.11
193,2.1,5.84,5.1
194,1.85,5.5,4.31
195,1.16,4.97,2.83
196,1.76,6.04,3.02
197,0.73,3.92,3.37
198,1.11,3.72,2.19
199,0.92,2.41,2.27
200,0.72,2.23,2.26
201,0.72,5.23,2.28
202,0.73,7.47,3.58
203,0.93,6.87,4.36
204,1.18,7.81,3.97
205,2.06,9.98,4.03
206,1.58,7.94,3.15
207,2.16,9.49,3.25
208,2.16,11.15,4.28
209,1.8,7.4,3.23
210,2.31,11.2,3.67
211,1.47,5.64,4.79
212,2.49,9.2,3.87
213,1.71,7.4,2.71
214,1.76,4.48,3.49
215,1.54,6.26,2.64
216,1.06,4.21,3.09
217,0.81,3.66,3.64
218,1.4,3.09,2.76
219,0.66,1.98,2.03
220,0.7,1.78,2.46
221,0.7,5.63,3.62
222,0.83,6.13,2.71
223,0.97,6.17,2.25
224,0.92,6.31,3.83
225,1.01,8.31,3.92
226,1.4,10.49,2.67
227,1.57,11.31,3.23
228,2.11,10.81,3.28
229,1.5,8.05,3.83
230,1.73,7.14,3.23
231,1.25,9.66,2.47
232,2.37,7.31,4.26
233,1.71,5.7,3.38
234,2.09,6.33,2.83
235,0.91,7.21,2.68
236,1.32,4.55,3.19
237,1.18,3.61,2.83
238,1.02,2.42,2.82
239,0.78,2.8,2.73
240,0.43,2.67,1.72
241,0.54,5.84,2.32
242,0.47,6.47,2.92
243,1.1,8.71,2.15
244,1.12,8.42,3.18
245,1.14,7.11,2.85
246,1.36,8.49,3.22
247,1.71,7.79,2.1
248,1.14,6.01,3.28
249,1.4,11.74,3.59
250,1.43,6.16,2.65
251,1.65,10.79,3.09
252,1.62,5.48,2.97
253,1.75,5.24,4.27
254,1.47,5.07,4.03
255,1.77,5.5,2.61
256,0.79,4.94,2.71
257,0.88,2.76,2.47
258,0.93,3.36,2.14
259,0.62,3.7,3.43
260,0.49,1.74,2.42
261,0.22,6.96,2.58
262,0.56,7.73,2.37
263,0.53,8.01,2.59
264,0.75,5.02,2.83
265,1.0,7.44,2.33
266,0.85,8.45,3.07
267,1.29,8.81,2.25
268,1.58,9.68,3.09
269,1.08,6.98,2.28
270,1.51,8.71,2.64
271,1.31,9.13,2.2
272,1.5,7.91,2.65
273,1.4,5.16,3.39
274,1.04,6.49,3.78
275,0.62,3.77,3.63
276,1.21,4.0,2.28
277,0.58,4.07,2.46
278,0.75,3.0,1.68
279,0.53,2.75,1.91
280,0.41,2.7,2.1
281,0.3,7.71,3.28
282,0.34,7.24,2.93
283,0.58,5.8,2.55
284,0.8,5.58,2.77
285,0.65,7.4,2.83
286,0.66,9.99,2.65
287,0.87,6.36,2.09
288,0.96,9.74,0.88
289,0.93,7.08,2.58
290,1.51,7.38,2.91
291,1.18,6.29,2.29
292,0.96,6.16,2.68
293,1.27,7.41,2.78
294,1.31,4.43,2.38
295,1.16,3.31,2.21
296,0.75,3.78,3.4
297,0.95,4.61,2.68
298,0.61,3.04,1.88
299,0.38,1.66,1.58
300,0.3,2.45,2.6
