id,xloc,yloc,cost,is_locked_out,epicentre
1,1.0,1.0,6.5,0.0,0.0
2,2.0,1.0,8.8,0.0,0.0
3,3.0,1.0,8.4,0.0,0.0
4,4.0,1.0,1.3,0.0,0.0
5,5.0,1.0,2.3,0.0,0.0
6,6.0,1.0,5.8,0.0,0.0
7,7.0,1.0,5.2,0.0,0.0
8,8.0,1.0,5.2,0.0,0.0
9,9.0,1.0,9.6,0.0,0.0
10,10.0,1.0,9.3,0.0,0.0
11,11.0,1.0,6.1,0.0,0.0
12,12.0,1.0,9.3,0.0,0.0
13,13.0,1.0,5.8,0.0,0.0
14,14.0,1.0,5.7,0.0,0.0
15,15.0,1.0,2.8,0.0,0.0
16,16.0,1.0,2.5,0.0,0.0
17,17.0,1.0,8.4,0.0,0.0
18,18.0,1.0,5.3,0.0,0.0
19,19.0,1.0,8.7,0.0,0.0
20,20.0,1.0,8.6,0.0,0.0
21,1.0,2.0,5.8,0.0,0.0
22,2.0,2.0,3.2,0.0,0.0
23,3.0,2.0,2.9,0.0,0.0
24,4.0,2.0,2.2,0.0,0.0
25,5.0,2.0,7.0,0.0,0.0
26,6.0,2.0,9.8,0.0,0.0
27,7.0,2.0,4.9,0.0,0.0
28,8.0,2.0,5.6,0.0,0.0
29,9.0,2.0,5.2,0.0,0.0
30,10.0,2.0,7.3,0.0,0.0
31,11.0,2.0,4.6,0.0,0.0
32,12.0,2.0,1.7,0.0,0.0
33,13.0,2.0,2.9,0.0,0.0
34,14.0,2.0,3.4,0.0,0.0
35,15.0,2.0,4.8,0.0,0.0
36,16.0,2.0,6.2,0.0,0.0
37,17.0,2.0,6.8,0.0,0.0
38,18.0,2.0,4.8,0.0,0.0
39,19.0,2.0,5.2,0.0,0.0
40,20.0,2.0,3.4,0.0,0.0
41,1.0,3.0,9.2,0.0,0.0
42,2.0,3.0,1.3,0.0,0.0
43,3.0,3.0,9.7,0.0,0.0
44,4.0,3.0,2.4,0.0,0.0
45,5.0,3.0,10.0,0.0,0.0
46,6.0,3.0,4.1,0.0,0.0
47,7.0,3.0,3.1,0.0,0.0
48,8.0,3.0,3.9,0.0,0.0
49,9.0,3.0,2.3,0.0,0.0
50,10.0,3.0,1.5,0.0,0.0
51,11.0,3.0,7.6,0.0,0.0
52,12.0,3.0,2.9,0.0,0.0
53,13.0,3.0,7.0,0.0,0.0
