id,cost,is_locked_out
1,7.7,0.0
2,3.6,0.0
3,2.2,0.0
4,9.1,0.0
5,3.4,0.0
6,9.3,0.0
7,7.3,0.0
8,6.5,0.0
9,4.2,0.0
10,4.2,0.0
11,9.4,0.0
12,2.7,0.0
13,4.0,0.0
14,2.2,0.0
15,9.7,0.0
16,9.6,0.0
17,3.2,0.0
18,3.5,0.0
19,6.3,0.0
20,5.2,0.0
21,7.0,0.0
22,4.2,0.0
23,5.4,0.0
24,7.9,0.0
25,6.8,0.0
26,4.1,0.0
27,4.9,0.0
28,8.2,0.0
29,9.1,0.0
30,3.2,0.0
31,5.1,0.0
32,3.5,0.0
33,2.9,0.0
34,4.1,0.0
35,9.2,0.0
36,1.8,0.0
37,8.3,0.0
38,9.9,0.0
39,1.9,0.0
40,2.8,0.0
41,4.5,0.0
42,8.3,0.0
43,1.9,0.0
44,4.4,0.0
45,8.8,0.0
46,8.3,0.0
47,9.5,0.0
48,9.2,0.0
49,9.4,0.0
50,5.9,0.0
51,3.7,0.0
52,1.0,0.0
53,1.3,0.0
54,6.9,0.0
55,2.2,0.0
56,2.7,0.0
57,4.3,0.0
58,3.3,0.0
59,9.8,0.0
60,9.5,0.0
61,9.3,0.0
62,7.7,0.0
63,8.5,0.0
64,5.4,0.0
65,3.7,0.0
66,9.6,0.0
67,4.6,0.0
68,7.4,0.0
69,4.4,0.0
70,6.7,0.0
71,9.6,0.0
72,4.3,0.0
73,6.3,0.0
74,1.8,0.0
75,6.7,0.0
76,5.1,0.0
77,9.0,0.0
78,1.2,0.0
79,8.9,0.0
80,4.9,0.0
81,8.0,0.0
82,8.9,0.0
83,6.7,0.0
84,9.2,0.0
85,6.2,0.0
86,1.5,0.0
87,8.1,0.0
88,9.0,0.0
89,3.0,0.0
90,9.5,0.0
91,9.8,0.0
92,4.3,0.0
93,1.2,0.0
94,1.3,0.0
95,6.0,0.0
96,6.8,0.0
97,9.5,0.0
98,1.4,0.0
99,3.3,0.0
100,4.7,0.0
101,1.0,0.0
102,4.3,0.0
103,7.6,0.0
104,1.5,0.0
105,7.3,0.0
106,9.2,0.0
107,9.1,0.0
108,4.9,0.0
109,10.0,0.0
110,1.1,0.0
111,7.9,0.0
112,7.2,0.0
113,8.1,0.0
114,8.9,0.0
115,7.2,0.0
116,7.5,0.0
117,4.4,0.0
118,5.4,0.0
119,5.2,0.0
120,4.1,0.0
121,5.8,0.0
122,5.8,0.0
123,1.8,0.0
124,5.4,0.0
125,5.6,0.0
126,7.4,0.0
127,6.0,0.0
128,2.3,0.0
129,1.0,0.0
130,9.2,1.0
131,9.4,1.0
132,8.6,0.0
133,9.6,0.0
134,6.8,0.0
135,1.9,0.0
136,3.1,0.0
137,3.4,0.0
138,7.9,0.0
139,8.5,0.0
140,5.3,0.0
141,7.1,0.0
142,6.6,0.0
143,8.9,0.0
144,4.5,0.0
145,7.2,0.0
146,5.4,0.0
147,2.2,0.0
148,6.2,0.0
149,8.9,0.0
150,5.4,1.0
151,1.7,1.0
152,9.3,0.0
153,7.0,0.0
154,9.8,0.0
155,1.9,0.0
156,8.8,0.0
157,9.2,0.0
158,10.0,0.0
159,9.1,0.0
160,9.0,0.0
161,6.0,0.0
162,1.9,0.0
163,6.9,0.0
164,5.5,0.0
165,1.3,0.0
166,7.8,0.0
167,2.8,0.0
168,6.5,0.0
169,6.2,0.0
170,6.5,0.0
171,7.7,0.0
172,5.9,0.0
173,4.3,0.0
174,2.1,0.0
175,8.8,0.0
176,4.0,0.0
177,1.9,0.0
178,4.2,0.0
179,8.2,0.0
180,1.6,0.0
181,5.7,0.0
182,3.9,0.0
183,5.5,0.0
184,8.8,0.0
185,2.2,0.0
186,5.9,0.0
187,3.4,0.0
188,4.0,0.0
189,5.4,0.0
190,9.7,0.0
191,1.8,0.0
192,3.3,0.0
193,5.7,0.0
194,6.3,0.0
195,2.6,0.0
196,6.9,0.0
197,5.5,0.0
198,6.3,0.0
199,5.7,0.0
200,7.3,0.0
201,9.3,0.0
202,2.2,0.0
203,2.5,0.0
204,8.1,0.0
205,7.4,0.0
206,3.9,0.0
207,1.5,0.0
208,3.8,0.0
209,1.1,0.0
210,6.3,0.0
211,5.2,0.0
212,1.2,0.0
213,5.3,0.0
214,8.0,0.0
215,6.0,0.0
216,3.9,0.0
217,7.4,0.0
218,2.8,0.0
219,9.7,0.0
220,3.3,0.0
221,7.3,0.0
222,7.7,0.0
223,7.9,0.0
224,9.5,0.0
225,2.1,0.0
226,6.1,0.0
227,6.9,0.0
228,7.4,0.0
229,4.9,0.0
230,6.1,0.0
231,7.2,0.0
232,1.6,0.0
233,3.3,0.0
234,6.4,0.0
235,4.0,0.0
236,8.2,0.0
237,8.6,0.0
238,2.6,0.0
239,3.8,0.0
240,2.7,0.0
241,4.3,0.0
242,8.1,0.0
243,7.7,0.0
244,1.5,0.0
245,5.8,0.0
246,5.5,0.0
247,6.9,0.0
248,2.8,0.0
249,2.9,0.0
250,6.1,0.0
251,5.2,0.0
252,5.5,0.0
253,6.0,0.0
254,7.4,0.0
255,4.0,0.0
256,7.5,0.0
257,9.5,0.0
258,4.1,0.0
259,4.3,0.0
260,9.8,0.0
261,5.4,0.0
262,10.0,0.0
263,2.2,0.0
264,8.0,0.0
265,1.6,0.0
266,3.5,0.0
267,2.9,0.0
268,8.3,0.0
269,6.5,0.0
270,3.9,0.0
271,2.6,0.0
272,9.8,0.0
273,3.1,0.0
274,4.6,0.0
275,9.5,0.0
276,5.1,0.0
277,3.6,0.0
278,1.1,0.0
279,6.0,0.0
280,6.2,0.0
281,1.5,0.0
282,1.3,0.0
283,1.3,0.0
284,4.2,0.0
285,4.6,0.0
286,7.3,0.0
287,5.6,0.0
288,9.7,0.0
289,2.1,0.0
290,3.9,0.0
291,1.3,0.0
292,3.3,0.0
293,8.1,0.0
294,7.4,0.0
295,9.6,0.0
296,6.3,0.0
297,9.1,0.0
298,6.9,0.0
299,3.4,0.0
300,7.4,0.0
