id,xloc,yloc
1,1.0,1.0
2,2.0,1.0
3,3.0,1.0
4,4.0,1.0
5,5.0,1.0
6,6.0,1.0
7,7.0,1.0
8,8.0,1.0
9,9.0,1.0
10,10.0,1.0
11,11.0,1.0
12,12.0,1.0
13,13.0,1.0
14,14.0,1.0
15,15.0,1.0
16,16.0,1.0
17,17.0,1.0
18,18.0,1.0
19,19.0,1.0
20,20.0,1.0
21,21.0,1.0
22,22.0,1.0
23,23.0,1.0
24,24.0,1.0
25,25.0,1.0
26,1.0,2.0
27,2.0,2.0
28,3.0,2.0
29,4.0,2.0
30,5.0,2.0
31,6.0,2.0
32,7.0,2.0
33,8.0,2.0
34,9.0,2.0
35,10.0,2.0
36,11.0,2.0
37,12.0,2.0
38,13.0,2.0
39,14.0,2.0
40,15.0,2.0
41,16.0,2.0
42,17.0,2.0
43,18.0,2.0
44,19.0,2.0
45,20.0,2.0
46,21.0,2.0
47,22.0,2.0
48,23.0,2.0
49,24.0,2.0
50,25.0,2.0
51,1.0,3.0
52,2.0,3.0
53,3.0,3.0
54,4.0,3.0
55,5.0,3.0
56,6.0,3.0
57,7.0,3.0
58,8.0,3.0
59,9.0,3.0
60,10.0,3.0
61,11.0,3.0
62,12.0,3.0
63,13.0,3.0
64,14.0,3.0
65,15.0,3.0
66,16.0,3.0
67,17.0,3.0
68,18.0,3.0
69,19.0,3.0
70,20.0,3.0
71,21.0,3.0
72,22.0,3.0
73,23.0,3.0
74,24.0,3.0
75,25.0,3.0
76,1.0,4.0
77,2.0,4.0
78,3.0,4.0
79,4.0,4.0
80,5.0,4.0
81,6.0,4.0
82,7.0,4.0
83,8.0,4.0
84,9.0,4.0
85,10.0,4.0
86,11.0,4.0
87,12.0,4.0
88,13.0,4.0
89,14.0,4.0
90,15.0,4.0
91,16.0,4.0
92,17.0,4.0
93,18.0,4.0
94,19.0,4.0
95,20.0,4.0
96,21.0,4.0
97,22.0,4.0
98,23.0,4.0
99,24.0,4.0
100,25.0,4.0
101,1.0,5.0
102,2.0,5.0
103,3.0,5.0
104,4.0,5.0
105,5.0,5.0
106,6.0,5.0
107,7.0,5.0
108,8.0,5.0
109,9.0,5.0
110,10.0,5.0
111,11.0,5.0
112,12.0,5.0
113,13.0,5.0
114,14.0,5.0
115,15.0,5.0
116,16.0,5.0
117,17.0,5.0
118,18.0,5.0
119,19.0,5.0
120,20.0,5.0
121,21.0,5.0
122,22.0,5.0
123,23.0,5.0
124,24.0,5.0
125,25.0,5.0
126,1.0,6.0
127,2.0,6.0
128,3.0,6.0
129,4.0,6.0
130,5.0,6.0
131,6.0,6.0
132,7.0,6.0
133,8.0,6.0
134,9.0,6.0
135,10.0,6.0
136,11.0,6.0
137,12.0,6.0
138,13.0,6.0
139,14.0,6.0
140,15.0,6.0
141,16.0,6.0
142,17.0,6.0
143,18.0,6.0
144,19.0,6.0
145,20.0,6.0
146,21.0,6.0
147,22.0,6.0
148,23.0,6.0
149,24.0,6.0
150,25.0,6.0
151,1.0,7.0
152,2.0,7.0
153,3.0,7.0
154,4.0,7.0
155,5.0,7.0
156,6.0,7.0
157,7.0,7.0
158,8.0,7.0
159,9.0,7.0
160,10.0,7.0
161,11.0,7.0
162,12.0,7.0
163,13.0,7.0
164,14.0,7.0
165,15.0,7.0
166,16.0,7.0
167,17.0,7.0
168,18.0,7.0
169,19.0,7.0
170,20.0,7.0
171,21.0,7.0
172,22.0,7.0
173,23.0,7.0
174,24.0,7.0
175,25.0,7.0
176,1.0,8.0
177,2.0,8.0
178,3.0,8.0
179,4.0,8.0
180,5.0,8.0
181,6.0,8.0
182,7.0,8.0
183,8.0,8.0
184,9.0,8.0
185,10.0,8.0
186,11.0,8.0
187,12.0,8.0
188,13.0,8.0
189,14.0,8.0
190,15.0,8.0
191,16.0,8.0
192,17.0,8.0
193,18.0,8.0
194,19.0,8.0
195,20.0,8.0
196,21.0,8.0
197,22.0,8.0
198,23.0,8.0
199,24.0,8.0
200,25.0,8.0
201,1.0,9.0
202,2.0,9.0
203,3.0,9.0
204,4.0,9.0
205,5.0,9.0
206,6.0,9.0
207,7.0,9.0
208,8.0,9.0
209,9.0,9.0
210,10.0,9.0
211,11.0,9.0
212,12.0,9.0
213,13.0,9.0
214,14.0,9.0
215,15.0,9.0
216,16.0,9.0
217,17.0,9.0
218,18.0,9.0
219,19.0,9.0
220,20.0,9.0
221,21.0,9.0
222,22.0,9.0
223,23.0,9.0
224,24.0,9.0
225,25.0,9.0
226,1.0,10.0
227,2.0,10.0
228,3.0,10.0
229,4.0,10.0
230,5.0,10.0
231,6.0,10.0
232,7.0,10.0
233,8.0,10.0
234,9.0,10.0
235,10.0,10.0
236,11.0,10.0
237,12.0,10.0
238,13.0,10.0
239,14.0,10.0
240,15.0,10.0
241,16.0,10.0
242,17.0,10.0
243,18.0,10.0
244,19.0,10.0
245,20.0,10.0
246,21.0,10.0
247,22.0,10.0
248,23.0,10.0
249,24.0,10.0
250,25.0,10.0
251,1.0,11.0
252,2.0,11.0
253,3.0,11.0
254,4.0,11.0
255,5.0,11.0
256,6.0,11.0
257,7.0,11.0
258,8.0,11.0
259,9.0,11.0
260,10.0,11.0
261,11.0,11.0
262,12.0,11.0
263,13.0,11.0
264,14.0,11.0
265,15.0,11.0
266,16.0,11.0
267,17.0,11.0
268,18.0,11.0
269,19.0,11.0
270,20.0,11.0
271,21.0,11.0
272,22.0,11.0
273,23.0,11.0
274,24.0,11.0
275,25.0,11.0
276,1.0,12.0
277,2.0,12.0
278,3.0,12.0
279,4.0,12.0
280,5.0,12.0
281,6.0,12.0
282,7.0,12.0
283,8.0,12.0
284,9.0,12.0
285,10.0,12.0
286,11.0,12.0
287,12.0,12.0
288,13.0,12.0
289,14.0,12.0
290,15.0,12.0
291,16.0,12.0
292,17.0,12.0
293,18.0,12.0
294,19.0,12.0
295,20.0,12.0
296,21.0,12.0
297,22.0,12.0
298,23.0,12.0
299,24.0,12.0
300,25.0,12.0
301,1.0,13.0
302,2.0,13.0
303,3.0,13.0
304,4.0,13.0
305,5.0,13.0
306,6.0,13.0
307,7.0,13.0
308,8.0,13.0
309,9.0,13.0
310,10.0,13.0
311,11.0,13.0
312,12.0,13.0
313,13.0,13.0
314,14.0,13.0
315,15.0,13.0
316,16.0,13.0
317,17.0,13.0
318,18.0,13.0
319,19.0,13.0
320,20.0,13.0
321,21.0,13.0
322,22.0,13.0
323,23.0,13.0
324,24.0,13.0
325,25.0,13.0
326,1.0,14.0
327,2.0,14.0
328,3.0,14.0
329,4.0,14.0
330,5.0,14.0
331,6.0,14.0
332,7.0,14.0
333,8.0,14.0
334,9.0,14.0
335,10.0,14.0
336,11.0,14.0
337,12.0,14.0
338,13.0,14.0
339,14.0,14.0
340,15.0,14.0
341,16.0,14.0
342,17.0,14.0
343,18.0,14.0
344,19.0,14.0
345,20.0,14.0
346,21.0,14.0
347,22.0,14.0
348,23.0,14.0
349,24.0,14.0
350,25.0,14.0
351,1.0,15.0
352,2.0,15.0
353,3.0,15.0
354,4.0,15.0
355,5.0,15.0
356,6.0,15.0
357,7.0,15.0
358,8.0,15.0
359,9.0,15.0
360,10.0,15.0
361,11.0,15.0
362,12.0,15.0
363,13.0,15.0
364,14.0,15.0
365,15.0,15.0
366,16.0,15.0
367,17.0,15.0
368,18.0,15.0
369,19.0,15.0
370,20.0,15.0
371,21.0,15.0
372,22.0,15.0
373,23.0,15.0
374,24.0,15.0
375,25.0,15.0
376,1.0,16.0
377,2.0,16.0
378,3.0,16.0
379,4.0,16.0
380,5.0,16.0
381,6.0,16.0
382,7.0,16.0
383,8.0,16.0
384,9.0,16.0
385,10.0,16.0
386,11.0,16.0
387,12.0,16.0
388,13.0,16.0
389,14.0,16.0
390,15.0,16.0
391,16.0,16.0
392,17.0,16.0
393,18.0,16.0
394,19.0,16.0
395,20.0,16.0
396,21.0,16.0
397,22.0,16.0
398,23.0,16.0
399,24.0,16.0
400,25.0,16.0
401,1.0,17.0
402,2.0,17.0
403,3.0,17.0
404,4.0,17.0
405,5.0,17.0
406,6.0,17.0
407,7.0,17.0
408,8.0,17.0
409,9.0,17.0
410,10.0,17.0
411,11.0,17.0
412,12.0,17.0
413,13.0,17.0
414,14.0,17.0
415,15.0,17.0
416,16.0,17.0
417,17.0,17.0
418,18.0,17.0
419,19.0,17.0
420,20.0,17.0
421,21.0,17.0
422,22.0,17.0
423,23.0,17.0
424,24.0,17.0
425,25.0,17.0
426,1.0,18.0
427,2.0,18.0
428,3.0,18.0
429,4.0,18.0
430,5.0,18.0
431,6.0,18.0
432,7.0,18.0
433,8.0,18.0
434,9.0,18.0
435,10.0,18.0
436,11.0,18.0
437,12.0,18.0
438,13.0,18.0
439,14.0,18.0
440,15.0,18.0
441,16.0,18.0
442,17.0,18.0
443,18.0,18.0
444,19.0,18.0
445,20.0,18.0
446,21.0,18.0
447,22.0,18.0
448,23.0,18.0
449,24.0,18.0
450,25.0,18.0
451,1.0,19.0
452,2.0,19.0
453,3.0,19.0
454,4.0,19.0
455,5.0,19.0
456,6.0,19.0
457,7.0,19.0
458,8.0,19.0
459,9.0,19.0
460,10.0,19.0
461,11.0,19.0
462,12.0,19.0
463,13.0,19.0
464,14.0,19.0
465,15.0,19.0
466,16.0,19.0
467,17.0,19.0
468,18.0,19.0
469,19.0,19.0
470,20.0,19.0
471,21.0,19.0
472,22.0,19.0
473,23.0,19.0
474,24.0,19.0
475,25.0,19.0
476,1.0,20.0
477,2.0,20.0
478,3.0,20.0
479,4.0,20.0
480,5.0,20.0
481,6.0,20.0
482,7.0,20.0
483,8.0,20.0
484,9.0,20.0
485,10.0,20.0
486,11.0,20.0
487,12.0,20.0
488,13.0,20.0
489,14.0,20.0
490,15.0,20.0
491,16.0,20.0
492,17.0,20.0
493,18.0,20.0
494,19.0,20.0
495,20.0,20.0
496,21.0,20.0
497,22.0,20.0
498,23.0,20.0
499,24.0,20.0
500,25.0,20.0
