id,m_cf1,m_cf2,m_cf3
1,4.83,5.01,1.24
2,4.85,5.27,1.38
3,4.83,5.51,1.51
4,4.75,5.72,1.65
5,4.63,5.88,1.79
6,4.49,5.98,1.93
7,4.33,6.02,2.07
8,4.15,5.98,2.22
9,3.97,5.88,2.37
10,3.78,5.72,2.52
11,3.59,5.51,2.68
12,3.4,5.27,2.83
13,3.2,5.01,2.98
14,3.0,4.73,3.15
15,2.81,4.45,3.37
16,2.61,4.15,3.7
17,2.41,3.97,3.37
18,2.21,3.77,3.15
19,2.01,3.55,2.95
20,1.81,3.32,2.76
21,1.61,3.07,2.59
22,1.42,2.82,2.42
23,1.22,2.56,2.26
24,1.02,2.29,2.11
25,0.82,2.01,1.96
26,5.04,5.22,1.26
27,5.08,5.51,1.39
28,5.04,5.78,1.53
29,4.94,6.02,1.67
30,4.8,6.21,1.81
31,4.63,6.34,1.95
32,4.45,6.38,2.1
33,4.26,6.34,2.25
34,4.06,6.21,2.41
35,3.87,6.02,2.57
36,3.67,5.78,2.74
37,3.47,5.51,2.92
38,3.26,5.22,3.1
39,3.06,4.92,3.28
40,2.86,4.62,3.37
41,2.66,4.45,3.37
42,2.46,4.25,3.28
43,2.25,4.03,3.1
44,2.05,3.8,2.92
45,1.85,3.55,2.74
46,1.65,3.29,2.57
47,1.45,3.02,2.41
48,1.25,2.75,2.25
49,1.05,2.47,2.1
50,0.85,2.18,1.95
51,5.25,5.4,1.26
52,5.31,5.72,1.4
53,5.25,6.02,1.53
54,5.12,6.29,1.67
55,4.94,6.53,1.81
56,4.75,6.7,1.96
57,4.55,6.76,2.11
58,4.34,6.7,2.26
59,4.14,6.53,2.42
60,3.93,6.29,2.59
61,3.72,6.02,2.76
62,3.52,5.72,2.95
63,3.31,5.4,3.15
64,3.1,5.08,3.37
65,2.9,4.92,3.7
66,2.69,4.73,3.37
67,2.49,4.52,3.15
68,2.29,4.28,2.98
69,2.08,4.03,2.83
70,1.88,3.77,2.68
71,1.68,3.5,2.52
72,1.48,3.21,2.37
73,1.27,2.93,2.22
74,1.07,2.63,2.07
75,0.87,2.34,1.93
76,5.44,5.54,1.26
77,5.54,5.88,1.39
78,5.44,6.21,1.53
79,5.25,6.53,1.67
80,5.04,6.83,1.81
81,4.83,7.05,1.95
82,4.61,7.15,2.1
83,4.4,7.05,2.25
84,4.18,6.83,2.41
85,3.97,6.53,2.57
86,3.76,6.21,2.74
87,3.55,5.88,2.92
88,3.34,5.54,3.1
89,3.13,5.4,3.28
90,2.92,5.22,3.37
91,2.72,5.01,3.28
92,2.51,4.78,3.1
93,2.3,4.52,2.92
94,2.1,4.25,2.74
95,1.9,3.97,2.59
96,1.69,3.68,2.45
97,1.49,3.39,2.31
98,1.29,3.09,2.17
99,1.09,2.78,2.03
100,0.89,2.48,1.89
101,5.54,5.62,1.24
102,5.8,5.98,1.38
103,5.54,6.34,1.51
104,5.31,6.7,1.65
105,5.08,7.05,1.79
106,4.85,7.38,1.93
107,4.63,7.55,2.07
108,4.41,7.38,2.22
109,4.2,7.05,2.37
110,3.98,6.7,2.52
111,3.77,6.34,2.68
112,3.56,5.98,2.83
113,3.35,5.88,2.98
114,3.14,5.72,3.1
115,2.93,5.51,3.15
116,2.72,5.27,3.1
117,2.52,5.01,2.98
118,2.31,4.73,2.83
119,2.11,4.45,2.68
120,1.9,4.15,2.52
121,1.7,3.84,2.37
122,1.5,3.54,2.23
123,1.29,3.23,2.1
124,1.09,2.91,1.97
125,0.89,2.6,1.84
126,5.44,5.65,1.22
127,5.54,6.02,1.35
128,5.44,6.38,1.48
129,5.25,6.76,1.62
130,5.04,7.15,1.75
131,4.83,7.55,1.89
132,4.61,8.0,2.03
133,4.4,7.55,2.17
134,4.18,7.15,2.31
135,3.97,6.76,2.45
136,3.76,6.38,2.59
137,3.55,6.34,2.72
138,3.34,6.21,2.83
139,3.13,6.02,2.92
140,2.92,5.78,2.95
141,2.72,5.51,2.92
142,2.51,5.22,2.83
143,2.3,4.92,2.72
144,2.1,4.62,2.59
145,1.9,4.3,2.45
146,1.69,3.99,2.31
147,1.49,3.67,2.17
148,1.29,3.35,2.03
149,1.09,3.02,1.9
150,0.89,2.7,1.77
151,5.25,5.62,1.19
152,5.31,5.98,1.32
153,5.25,6.34,1.44
154,5.12,6.7,1.57
155,4.94,7.05,1.7
156,4.75,7.38,1.84
157,4.55,7.55,1.97
158,4.34,7.38,2.1
159,4.14,7.05,2.23
160,3.93,6.7,2.36
161,3.72,6.76,2.48
162,3.52,6.7,2.59
163,3.31,6.53,2.68
164,3.1,6.29,2.74
165,2.9,6.02,2.76
166,2.69,5.72,2.74
167,2.49,5.4,2.68
168,2.29,5.08,2.59
169,2.08,4.75,2.48
170,1.88,4.43,2.36
171,1.68,4.1,2.23
172,1.48,3.77,2.1
173,1.27,3.44,1.97
174,1.07,3.11,1.84
175,0.87,2.78,1.7
176,5.04,5.54,1.15
177,5.08,5.88,1.27
178,5.04,6.21,1.4
179,4.94,6.53,1.52
180,4.8,6.83,1.65
181,4.63,7.05,1.77
182,4.45,7.15,1.9
183,4.26,7.05,2.02
184,4.06,6.83,2.14
185,3.87,7.05,2.25
