id,cf1,cf2,cf3
1,0.34,1.02,2.11
2,0.71,1.1,1.18
3,0.7,1.27,2.83
4,0.71,1.43,2.59
5,0.75,1.23,2.89
6,0.68,1.66,3.63
7,0.55,1.17,3.48
8,0.64,1.66,2.47
9,0.56,1.19,2.69
10,0.47,1.73,1.76
11,0.34,1.49,2.3
12,0.51,2.02,2.78
13,0.39,1.71,2.7
14,0.28,1.68,1.79
15,0.46,1.22,1.78
16,0.41,1.3,0.75
17,0.36,0.85,1.96
18,0.29,1.06,1.79
19,0.32,1.38,1.35
20,0.2,0.74,1.85
21,0.14,0.79,1.73
22,0.09,0.55,1.4
23,0.08,0.63,1.21
24,0.04,0.51,1.02
25,0.0,0.23,0.83
26,0.69,1.13,2.5
27,0.88,1.04,2.27
28,0.79,1.24,2.18
29,0.82,1.36,2.65
30,0.75,1.59,1.8
31,0.6,1.5,2.33
32,0.58,1.63,3.92
33,0.42,1.93,3.54
34,0.48,1.75,3.46
35,0.57,1.49,2.84
36,0.59,1.73,2.77
37,0.6,2.21,2.07
38,0.7,1.35,1.95
39,0.62,1.08,2.4
40,0.47,1.95,2.13
41,0.33,1.53,1.18
42,0.31,1.97,2.84
43,0.4,1.04,1.86
44,0.21,1.23,2.04
45,0.31,1.25,1.92
46,0.2,1.03,1.74
47,0.18,0.84,1.21
48,0.12,0.77,1.26
49,0.07,0.32,1.63
50,0.02,0.35,1.0
51,0.68,1.29,2.41
52,0.6,1.23,1.38
53,1.07,1.09,2.9
54,0.55,1.58,2.61
55,0.69,1.5,3.07
56,0.61,1.61,2.39
57,0.54,2.19,3.42
58,0.74,2.47,3.12
59,0.61,2.39,1.96
60,0.44,2.04,3.94
61,0.68,1.83,3.18
62,0.43,1.87,1.65
63,0.52,1.81,2.19
64,0.5,1.94,2.4
65,0.6,1.33,2.09
66,0.57,1.56,2.39
67,0.31,1.73,2.31
68,0.26,1.56,1.46
69,0.31,1.25,1.79
70,0.36,1.22,1.58
71,0.32,1.03,1.96
72,0.29,0.87,1.09
73,0.13,0.73,1.52
74,0.14,0.39,1.39
75,0.06,0.28,0.94
76,0.8,1.28,2.01
77,1.1,1.38,1.85
78,0.99,1.18,2.16
79,0.82,1.59,2.16
80,0.77,1.43,2.93
81,0.87,1.53,2.79
82,0.88,2.21,3.13
83,0.84,1.77,3.21
84,0.8,2.65,4.19
85,0.81,1.64,3.33
86,0.74,1.8,3.55
87,0.87,2.19,2.31
88,0.8,1.87,2.55
89,0.58,2.22,3.11
90,0.58,1.87,2.81
91,0.44,2.32,2.39
92,0.31,1.66,2.54
93,0.55,2.35,2.42
94,0.37,1.45,2.41
95,0.3,1.53,1.36
96,0.2,1.42,1.36
97,0.15,1.09,1.58
98,0.24,0.65,1.33
99,0.14,0.59,1.21
100,0.12,0.57,1.35
101,0.64,1.48,2.46
102,0.93,1.73,2.08
103,0.81,1.27,2.54
104,1.0,1.95,2.42
105,0.86,1.89,3.13
106,0.93,2.19,2.07
107,1.11,2.08,4.41
108,0.97,2.49,1.78
109,0.63,2.49,3.78
110,0.66,3.34,3.8
111,0.81,2.48,2.77
112,0.52,2.5,1.43
113,0.76,2.91,2.83
114,0.49,3.0,2.81
115,0.45,2.08,3.22
116,0.41,2.13,1.82
117,0.58,1.87,1.42
118,0.22,1.17,2.38
119,0.43,1.86,1.58
120,0.25,1.75,1.56
121,0.14,1.23,1.27
122,0.26,1.71,1.78
123,0.16,0.7,1.57
124,0.22,0.68,1.74
125,0.12,0.71,1.1
126,1.14,1.46,1.59
127,1.16,1.32,1.58
128,0.68,1.95,2.4
129,0.82,3.13,2.55
130,1.12,2.21,3.23
131,0.89,2.86,2.39
132,1.19,2.11,2.93
133,1.31,2.02,2.83
134,0.9,2.1,2.93
135,0.83,3.14,2.56
136,0.59,2.34,3.12
137,1.07,1.69,2.55
138,0.61,2.7,2.37
139,0.57,1.9,2.15
