id,m_cf1,m_cf2,m_cf3
1,0.63,0.94,1.87
2,0.64,1.07,2.01
3,0.64,1.18,2.16
4,0.64,1.3,2.3
5,0.63,1.39,2.45
6,0.62,1.49,2.57
7,0.61,1.55,2.66
8,0.59,1.61,2.7
9,0.57,1.63,2.66
10,0.55,1.65,2.57
11,0.52,1.65,2.45
12,0.5,1.63,2.3
13,0.46,1.61,2.16
14,0.43,1.55,2.01
15,0.4,1.49,1.92
16,0.36,1.39,1.87
17,0.32,1.3,1.79
18,0.29,1.18,1.72
19,0.25,1.07,1.63
20,0.2,0.94,1.54
21,0.16,0.79,1.44
22,0.12,0.66,1.33
23,0.08,0.52,1.23
24,0.04,0.38,1.13
25,-0.0,0.24,1.02
26,0.7,1.07,1.92
27,0.71,1.2,2.08
28,0.71,1.34,2.23
29,0.71,1.45,2.39
30,0.7,1.57,2.57
31,0.69,1.67,2.75
32,0.67,1.75,2.89
33,0.66,1.82,2.94
34,0.64,1.84,2.89
35,0.61,1.86,2.75
36,0.58,1.86,2.57
37,0.56,1.84,2.39
38,0.52,1.82,2.23
39,0.49,1.75,2.11
40,0.45,1.67,2.08
41,0.41,1.57,2.01
42,0.37,1.45,1.93
43,0.33,1.34,1.84
44,0.29,1.2,1.74
45,0.25,1.07,1.63
46,0.2,0.92,1.52
47,0.16,0.77,1.41
48,0.12,0.63,1.3
49,0.08,0.47,1.19
50,0.03,0.33,1.08
51,0.77,1.18,1.95
52,0.78,1.34,2.11
53,0.78,1.47,2.28
54,0.78,1.61,2.47
55,0.77,1.73,2.66
56,0.76,1.84,2.89
57,0.74,1.94,3.11
58,0.72,2.01,3.23
59,0.7,2.05,3.11
60,0.67,2.07,2.89
61,0.64,2.07,2.66
62,0.61,2.05,2.47
63,0.58,2.01,2.3
64,0.54,1.94,2.28
65,0.5,1.84,2.23
66,0.46,1.73,2.16
67,0.42,1.61,2.06
68,0.38,1.47,1.95
69,0.34,1.34,1.84
70,0.29,1.18,1.72
71,0.25,1.03,1.61
72,0.2,0.88,1.48
73,0.16,0.72,1.36
74,0.11,0.56,1.24
75,0.07,0.4,1.13
76,0.85,1.3,1.96
77,0.85,1.45,2.13
78,0.85,1.61,2.3
79,0.85,1.75,2.49
80,0.85,1.9,2.7
81,0.83,2.03,2.94
82,0.82,2.13,3.23
83,0.79,2.22,3.8
84,0.76,2.27,3.23
85,0.74,2.29,2.94
86,0.71,2.29,2.7
87,0.67,2.27,2.49
88,0.64,2.22,2.49
89,0.6,2.13,2.47
90,0.56,2.03,2.39
91,0.52,1.9,2.3
92,0.47,1.75,2.18
93,0.42,1.61,2.06
94,0.38,1.45,1.93
95,0.33,1.3,1.79
96,0.29,1.12,1.68
97,0.24,0.97,1.55
98,0.19,0.81,1.41
99,0.15,0.65,1.3
100,0.1,0.48,1.18
101,0.92,1.39,1.95
102,0.93,1.57,2.11
103,0.93,1.73,2.28
104,0.93,1.9,2.47
105,0.92,2.05,2.66
106,0.91,2.2,2.89
107,0.88,2.33,3.11
108,0.86,2.43,3.23
109,0.84,2.5,3.11
110,0.8,2.52,2.89
111,0.77,2.52,2.66
112,0.74,2.5,2.66
113,0.69,2.43,2.7
114,0.65,2.33,2.66
115,0.61,2.2,2.57
116,0.56,2.05,2.45
117,0.52,1.9,2.3
118,0.47,1.73,2.16
119,0.42,1.57,2.01
120,0.37,1.39,1.87
121,0.32,1.22,1.74
122,0.28,1.05,1.59
123,0.23,0.88,1.47
124,0.18,0.72,1.33
125,0.13,0.54,1.21
126,0.99,1.49,1.92
127,1.01,1.67,2.08
128,1.01,1.84,2.23
129,1.01,2.03,2.39
130,0.99,2.2,2.57
131,0.98,2.36,2.75
132,0.96,2.52,2.89
133,0.94,2.64,2.94
134,0.91,2.74,2.89
135,0.87,2.76,2.75
136,0.83,2.76,2.75
137,0.79,2.74,2.89
138,0.75,2.64,2.94
139,0.71,2.52,2.89
140,0.66,2.36,2.75
141,0.61,2.2,2.57
142,0.56,2.03,2.39
143,0.52,1.84,2.23
144,0.46,1.67,2.08
145,0.41,1.49,1.92
146,0.36,1.3,1.78
147,0.31,1.12,1.63
148,0.26,0.96,1.49
149,0.21,0.77,1.36
150,0.16,0.59,1.23
151,1.08,1.55,1.87
152,1.09,1.75,2.01
153,1.09,1.94,2.16
154,1.09,2.13,2.3
155,1.08,2.33,2.45
156,1.06,2.52,2.57
157,1.04,2.71,2.66
158,1.01,2.86,2.7
159,0.98,2.97,2.66
160,0.94,3.02,2.66
161,0.9,3.02,2.89
162,0.85,2.97,3.11
163,0.81,2.86,3.23
164,0.76,2.71,3.11
165,0.71,2.52,2.89
166,0.66,2.33,2.66
167,0.61,2.13,2.47
168,0.56,1.94,2.28
169,0.5,1.75,2.11
170,0.45,1.55,1.95
171,0.4,1.37,1.79
172,0.34,1.18,1.65
173,0.29,0.99,1.52
174,0.24,0.83,1.39
175,0.19,0.65,1.26
176,1.16,1.61,1.79
177,1.18,1.82,1.93
178,1.18,2.01,2.06
179,1.18,2.22,2.18
180,1.16,2.43,2.3
181,1.14,2.64,2.39
182,1.12,2.86,2.47
183,1.08,3.07,2.49
184,1.05,3.24,2.49
185,1.01,3.3,2.7
186,0.96,3.3,2.94
187,0.91,3.24,3.23
188,0.86,3.07,3.8
189,0.81,2.86,3.23
190,0.76,2.64,2.94
191,0.71,2.43,2.7
192,0.65,2.22,2.49
193,0.6,2.01,2.3
194,0.54,1.82,2.13
195,0.49,1.61,1.96
196,0.43,1.41,1.81
197,0.37,1.22,1.66
198,0.32,1.03,1.52
199,0.27,0.84,1.39
200,0.22,0.68,1.26
201,1.25,1.63,1.72
202,1.27,1.84,1.84
203,1.27,2.05,1.95
204,1.27,2.27,2.06
205,1.25,2.5,2.16
206,1.23,2.74,2.23
207,1.2,2.97,2.28
208,1.16,3.24,2.3
209,1.12,3.49,2.47
210,1.08,3.62,2.66
211,1.03,3.62,2.89
212,0.97,3.49,3.11
213,0.92,3.24,3.23
214,0.86,2.97,3.11
215,0.81,2.74,2.89
216,0.75,2.5,2.66
217,0.69,2.27,2.47
218,0.64,2.05,2.28
219,0.58,1.84,2.11
220,0.52,1.63,1.95
221,0.46,1.45,1.79
222,0.41,1.26,1.65
223,0.35,1.07,1.52
224,0.29,0.88,1.39
225,0.24,0.7,1.26
226,1.34,1.65,1.63
227,1.35,1.86,1.74
228,1.36,2.07,1.84
229,1.35,2.29,1.93
230,1.34,2.52,2.01
231,1.31,2.76,2.08
232,1.29,3.02,2.11
233,1.24,3.3,2.23
234,1.2,3.62,2.39
235,1.14,4.1,2.57
236,1.09,4.1,2.75
237,1.03,3.62,2.89
238,0.97,3.3,2.94
239,0.91,3.02,2.89
240,0.85,2.76,2.75
241,0.79,2.52,2.57
242,0.74,2.29,2.39
243,0.67,2.07,2.23
244,0.61,1.86,2.08
245,0.56,1.65,1.92
246,0.5,1.45,1.78
247,0.44,1.26,1.63
248,0.38,1.07,1.49
249,0.32,0.88,1.36
250,0.26,0.7,1.23
251,1.44,1.63,1.54
252,1.45,1.84,1.63
253,1.46,2.05,1.72
254,1.45,2.27,1.79
255,1.44,2.5,1.87
256,1.41,2.74,1.92
257,1.37,2.97,2.01
258,1.32,3.24,2.16
259,1.27,3.49,2.3
260,1.21,3.62,2.45
261,1.15,3.62,2.57
262,1.09,3.49,2.66
263,1.03,3.24,2.7
264,0.96,2.97,2.66
265,0.9,2.74,2.57
266,0.83,2.5,2.45
267,0.77,2.27,2.3
268,0.71,2.05,2.16
269,0.64,1.84,2.01
270,0.58,1.63,1.87
271,0.52,1.45,1.74
272,0.46,1.26,1.59
273,0.41,1.07,1.47
274,0.34,0.88,1.33
275,0.29,0.7,1.21
276,1.54,1.61,1.44
277,1.56,1.82,1.52
278,1.57,2.01,1.61
279,1.56,2.22,1.68
280,1.54,2.43,1.74
281,1.5,2.64,1.79
282,1.45,2.86,1.93
283,1.4,3.07,2.06
284,1.34,3.24,2.18
285,1.28,3.3,2.3
286,1.21,3.3,2.39
287,1.14,3.24,2.47
288,1.08,3.07,2.49
289,1.01,2.86,2.47
290,0.94,2.64,2.39
