id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5
1,3.21,1.76,5.38,1.32,11.37
2,3.64,2.03,5.96,3.7,12.03
3,4.13,2.34,6.55,6.08,12.68
4,4.57,2.63,7.05,8.2,13.33
5,5.0,2.93,7.5,10.32,13.99
6,5.38,3.2,7.87,12.43,14.64
7,5.76,3.49,8.2,14.29,15.23
8,6.09,3.74,8.47,16.4,15.88
9,6.36,3.97,8.67,18.25,16.47
10,6.58,4.15,8.83,19.84,17.06
11,6.68,4.24,8.9,21.43,17.65
12,6.74,4.29,8.94,22.75,18.17
13,6.68,4.24,8.9,24.07,18.56
14,6.58,4.15,8.83,24.87,18.69
15,6.36,3.97,8.67,25.66,18.56
16,6.09,3.74,8.47,25.93,18.17
17,5.76,3.49,8.2,26.19,17.65
18,5.38,3.2,7.87,25.93,17.06
19,5.0,2.93,7.5,25.66,16.47
20,4.57,2.63,7.05,24.87,15.88
21,4.13,2.34,6.55,24.07,15.23
22,3.64,2.03,5.96,22.75,14.64
23,3.21,1.76,5.38,21.43,13.99
24,2.72,1.47,4.7,19.84,13.33
25,2.23,1.18,3.96,18.25,12.68
26,3.42,1.89,5.68,2.65,11.5
27,3.91,2.2,6.29,5.03,12.16
28,4.4,2.52,6.87,7.41,12.81
29,4.89,2.85,7.39,9.52,13.46
30,5.33,3.16,7.82,11.9,14.05
31,5.76,3.49,8.2,14.02,14.71
32,6.14,3.79,8.51,16.14,15.36
33,6.52,4.1,8.79,18.25,16.01
34,6.85,4.39,9.01,20.11,16.67
35,7.07,4.58,9.14,21.96,17.32
36,7.23,4.74,9.23,23.54,17.91
37,7.28,4.79,9.26,25.13,18.56
38,7.23,4.74,9.23,26.46,19.08
39,7.07,4.58,9.14,27.51,19.35
40,6.85,4.39,9.01,28.31,19.08
41,6.52,4.1,8.79,28.57,18.56
42,6.14,3.79,8.51,28.84,17.91
43,5.76,3.49,8.2,28.57,17.32
44,5.33,3.16,7.82,28.31,16.67
45,4.89,2.85,7.39,27.51,16.01
46,4.4,2.52,6.87,26.46,15.36
47,3.91,2.2,6.29,25.13,14.71
48,3.42,1.89,5.68,23.54,14.05
49,2.93,1.59,5.01,21.96,13.46
50,2.45,1.31,4.29,20.11,12.81
51,3.64,2.03,5.96,3.7,11.5
52,4.13,2.34,6.55,6.08,12.16
53,4.67,2.7,7.16,8.47,12.81
54,5.16,3.05,7.66,10.85,13.46
