id,xloc,yloc,cost,is_locked_out,epicentre
1,-32.65,-3.95,10.0,0.0,0.0
2,-32.64,-3.95,3.0,0.0,0.0
3,-32.63,-3.95,10.0,0.0,0.0
4,-32.62,-3.95,9.0,0.0,0.0
5,-32.61,-3.95,4.0,0.0,0.0
6,-32.6,-3.95,10.0,0.0,0.0
7,-32.59,-3.95,9.0,0.0,0.0
8,-32.58,-3.95,3.0,0.0,0.0
9,-32.57,-3.95,2.0,0.0,0.0
10,-32.56,-3.95,10.0,0.0,0.0
11,-32.55,-3.95,9.0,0.0,0.0
12,-32.54,-3.95,2.0,0.0,0.0
13,-32.53,-3.95,10.0,0.0,0.0
14,-32.52,-3.95,4.0,0.0,0.0
15,-32.51,-3.95,1.0,0.0,0.0
16,-32.5,-3.95,7.0,0.0,0.0
17,-32.49,-3.95,5.0,0.0,0.0
18,-32.48,-3.95,3.0,0.0,0.0
19,-32.47,-3.95,5.0,0.0,0.0
20,-32.46,-3.95,0.0,0.0,0.0
21,-32.45,-3.95,10.0,0.0,0.0
22,-32.44,-3.95,9.0,0.0,0.0
23,-32.43,-3.95,1.0,0.0,0.0
24,-32.42,-3.95,5.0,0.0,0.0
25,-32.41,-3.95,10.0,0.0,0.0
26,-32.65,-3.94,2.0,0.0,0.0
27,-32.64,-3.94,5.0,0.0,0.0
28,-32.63,-3.94,4.0,0.0,0.0
29,-32.62,-3.94,4.0,0.0,0.0
30,-32.61,-3.94,8.0,0.0,0.0
31,-32.6,-3.94,4.0,0.0,0.0
32,-32.59,-3.94,4.0,0.0,0.0
33,-32.58,-3.94,8.0,0.0,0.0
34,-32.57,-3.94,7.0,0.0,0.0
35,-32.56,-3.94,1.0,0.0,0.0
36,-32.55,-3.94,5.0,0.0,0.0
37,-32.54,-3.94,10.0,0.0,0.0
38,-32.53,-3.94,9.0,0.0,0.0
39,-32.52,-3.94,0.0,0.0,0.0
40,-32.51,-3.94,1.0,0.0,0.0
41,-32.5,-3.94,7.0,0.0,0.0
42,-32.49,-3.94,10.0,0.0,0.0
43,-32.48,-3.94,2.0,0.0,0.0
44,-32.47,-3.94,1.0,0.0,0.0
45,-32.46,-3.94,4.0,0.0,0.0
46,-32.45,-3.94,3.0,0.0,0.0
47,-32.44,-3.94,3.0,0.0,0.0
48,-32.43,-3.94,8.0,0.0,0.0
49,-32.42,-3.94,4.0,0.0,0.0
50,-32.41,-3.94,8.0,0.0,0.0
51,-32.65,-3.93,4.0,0.0,0.0
52,-32.64,-3.93,7.0,0.0,0.0
53,-32.63,-3.93,10.0,0.0,0.0
54,-32.62,-3.93,8.0,0.0,0.0
55,-32.61,-3.93,9.0,0.0,0.0
56,-32.6,-3.93,0.0,0.0,0.0
57,-32.59,-3.93,8.0,0.0,0.0
58,-32.58,-3.93,2.0,0.0,0.0
59,-32.57,-3.93,9.0,0.0,0.0
60,-32.56,-3.93,10.0,0.0,0.0
61,-32.55,-3.93,6.0,0.0,0.0
62,-32.54,-3.93,6.0,0.0,0.0
63,-32.53,-3.93,9.0,0.0,0.0
64,-32.52,-3.93,4.0,0.0,5.0
65,-32.51,-3.93,1.0,0.0,0.0
66,-32.5,-3.93,2.0,0.0,0.0
67,-32.49,-3.93,5.0,0.0,0.0
68,-32.48,-3.93,1.0,0.0,0.0
69,-32.47,-3.93,9.0,0.0,0.0
70,-32.46,-3.93,2.0,0.0,0.0
71,-32.45,-3.93,1.0,0.0,0.0
72,-32.44,-3.93,9.0,0.0,0.0
73,-32.43,-3.93,0.0,0.0,0.0
74,-32.42,-3.93,1.0,0.0,0.0
75,-32.41,-3.93,4.0,0.0,0.0
76,-32.65,-3.92,10.0,0.0,0.0
77,-32.64,-3.92,4.0,0.0,0.0
78,-32.63,-3.92,3.0,0.0,0.0
79,-32.62,-3.92,7.0,0.0,0.0
80,-32.61,-3.92,2.0,0.0,0.0
81,-32.6,-3.92,10.0,0.0,0.0
82,-32.59,-3.92,6.0,0.0,0.0
83,-32.58,-3.92,8.0,0.0,0.0
84,-32.57,-3.92,5.0,0.0,0.0
85,-32.56,-3.92,4.0,0.0,0.0
86,-32.55,-3.92,8.0,0.0,0.0
87,-32.54,-3.92,7.0,0.0,0.0
88,-32.53,-3.92,6.0,0.0,0.0
89,-32.52,-3.92,4.0,0.0,0.0
90,-32.51,-3.92,3.0,0.0,0.0
91,-32.5,-3.92,7.0,0.0,0.0
92,-32.49,-3.92,9.0,0.0,0.0
93,-32.48,-3.92,1.0,0.0,0.0
94,-32.47,-3.92,3.0,0.0,0.0
95,-32.46,-3.92,5.0,0.0,0.0
96,-32.45,-3.92,9.0,0.0,0.0
97,-32.44,-3.92,10.0,0.0,0.0
98,-32.43,-3.92,5.0,0.0,0.0
99,-32.42,-3.92,0.0,0.0,0.0
100,-32.41,-3.92,3.0,0.0,0.0
101,-32.65,-3.91,6.0,0.0,0.0
102,-32.64,-3.91,7.0,0.0,0.0
103,-32.63,-3.91,10.0,0.0,0.0
104,-32.62,-3.91,8.0,0.0,0.0
105,-32.61,-3.91,5.0,0.0,0.0
106,-32.6,-3.91,3.0,0.0,0.0
107,-32.59,-3.91,0.0,0.0,0.0
108,-32.58,-3.91,4.0,0.0,0.0
109,-32.57,-3.91,7.0,0.0,0.0
110,-32.56,-3.91,1.0,0.0,0.0
111,-32.55,-3.91,5.0,0.0,0.0
112,-32.54,-3.91,4.0,0.0,0.0
113,-32.53,-3.91,5.0,0.0,0.0
114,-32.52,-3.91,2.0,0.0,0.0
115,-32.51,-3.91,9.0,0.0,0.0
116,-32.5,-3.91,7.0,0.0,0.0
117,-32.49,-3.91,2.0,0.0,0.0
118,-32.48,-3.91,10.0,0.0,0.0
119,-32.47,-3.91,1.0,0.0,0.0
120,-32.46,-3.91,7.0,0.0,0.0
121,-32.45,-3.91,2.0,0.0,0.0
122,-32.44,-3.91,5.0,0.0,0.0
123,-32.43,-3.91,1.0,0.0,0.0
124,-32.42,-3.91,8.0,0.0,0.0
125,-32.41,-3.91,4.0,0.0,0.0
126,-32.65,-3.9,7.0,0.0,0.0
127,-32.64,-3.9,6.0,0.0,0.0
128,-32.63,-3.9,3.0,0.0,0.0
129,-32.62,-3.9,3.0,0.0,0.0
130,-32.61,-3.9,7.0,0.0,0.0
131,-32.6,-3.9,10.0,0.0,0.0
132,-32.59,-3.9,10.0,0.0,0.0
133,-32.58,-3.9,3.0,0.0,0.0
134,-32.57,-3.9,5.0,0.0,0.0
135,-32.56,-3.9,4.0,0.0,0.0
136,-32.55,-3.9,8.0,0.0,0.0
137,-32.54,-3.9,3.0,0.0,0.0
138,-32.53,-3.9,5.0,0.0,0.0
139,-32.52,-3.9,7.0,0.0,0.0
140,-32.51,-3.9,3.0,0.0,0.0
141,-32.5,-3.9,9.0,0.0,0.0
142,-32.49,-3.9,6.0,0.0,0.0
143,-32.48,-3.9,9.0,0.0,0.0
144,-32.47,-3.9,10.0,0.0,0.0
145,-32.46,-3.9,4.0,0.0,0.0
146,-32.45,-3.9,5.0,0.0,0.0
147,-32.44,-3.9,7.0,0.0,0.0
148,-32.43,-3.9,1.0,0.0,0.0
149,-32.42,-3.9,1.0,0.0,0.0
150,-32.41,-3.9,10.0,0.0,0.0
151,-32.65,-3.89,4.0,0.0,0.0
152,-32.64,-3.89,5.0,0.0,0.0
153,-32.63,-3.89,10.0,0.0,0.0
154,-32.62,-3.89,1.0,0.0,0.0
155,-32.61,-3.89,9.0,0.0,0.0
156,-32.6,-3.89,4.0,0.0,0.0
157,-32.59,-3.89,10.0,0.0,0.0
158,-32.58,-3.89,6.0,0.0,0.0
159,-32.57,-3.89,8.0,0.0,0.0
160,-32.56,-3.89,1.0,0.0,0.0
161,-32.55,-3.89,7.0,0.0,0.0
162,-32.54,-3.89,9.0,1.0,0.0
163,-32.53,-3.89,10.0,0.0,0.0
164,-32.52,-3.89,10.0,0.0,0.0
165,-32.51,-3.89,8.0,0.0,0.0
166,-32.5,-3.89,9.0,0.0,0.0
167,-32.49,-3.89,4.0,0.0,0.0
168,-32.48,-3.89,0.0,0.0,0.0
169,-32.47,-3.89,7.0,0.0,0.0
170,-32.46,-3.89,2.0,0.0,0.0
171,-32.45,-3.89,0.0,0.0,0.0
172,-32.44,-3.89,5.0,0.0,0.0
173,-32.43,-3.89,1.0,0.0,0.0
174,-32.42,-3.89,0.0,0.0,0.0
175,-32.41,-3.89,6.0,0.0,0.0
176,-32.65,-3.88,0.0,0.0,0.0
177,-32.64,-3.88,0.0,0.0,0.0
178,-32.63,-3.88,7.0,0.0,0.0
179,-32.62,-3.88,5.0,0.0,0.0
180,-32.61,-3.88,9.0,0.0,0.0
181,-32.6,-3.88,9.0,0.0,0.0
182,-32.59,-3.88,7.0,0.0,0.0
183,-32.58,-3.88,0.0,0.0,0.0
184,-32.57,-3.88,10.0,0.0,0.0
185,-32.56,-3.88,3.0,0.0,0.0
186,-32.55,-3.88,3.0,0.0,0.0
187,-32.54,-3.88,8.0,0.0,0.0
188,-32.53,-3.88,1.0,0.0,0.0
189,-32.52,-3.88,10.0,0.0,0.0
190,-32.51,-3.88,4.0,0.0,0.0
191,-32.5,-3.88,0.0,0.0,0.0
192,-32.49,-3.88,7.0,0.0,0.0
193,-32.48,-3.88,7.0,0.0,0.0
194,-32.47,-3.88,3.0,0.0,0.0
195,-32.46,-3.88,5.0,0.0,0.0
196,-32.45,-3.88,3.0,0.0,0.0
197,-32.44,-3.88,7.0,0.0,0.0
198,-32.43,-3.88,7.0,0.0,0.0
199,-32.42,-3.88,0.0,0.0,0.0
200,-32.41,-3.88,5.0,0.0,0.0
201,-32.65,-3.87,2.0,0.0,0.0
202,-32.64,-3.87,8.0,0.0,0.0
203,-32.63,-3.87,9.0,0.0,0.0
204,-32.62,-3.87,1.0,0.0,0.0
205,-32.61,-3.87,0.0,0.0,0.0
206,-32.6,-3.87,0.0,0.0,0.0
207,-32.59,-3.87,8.0,0.0,0.0
208,-32.58,-3.87,0.0,0.0,0.0
209,-32.57,-3.87,0.0,0.0,0.0
210,-32.56,-3.87,9.0,0.0,0.0
211,-32.55,-3.87,2.0,0.0,0.0
212,-32.54,-3.87,9.0,0.0,0.0
213,-32.53,-3.87,1.0,0.0,0.0
214,-32.52,-3.87,3.0,0.0,0.0
215,-32.51,-3.87,6.0,0.0,0.0
216,-32.5,-3.87,7.0,0.0,0.0
217,-32.49,-3.87,2.0,0.0,0.0
218,-32.48,-3.87,2.0,0.0,0.0
219,-32.47,-3.87,4.0,0.0,0.0
220,-32.46,-3.87,5.0,0.0,0.0
221,-32.45,-3.87,3.0,0.0,0.0
222,-32.44,-3.87,4.0,0.0,0.0
223,-32.43,-3.87,10.0,0.0,0.0
224,-32.42,-3.87,2.0,0.0,0.0
225,-32.41,-3.87,0.0,0.0,0.0
226,-32.65,-3.86,7.0,0.0,0.0
227,-32.64,-3.86,5.0,0.0,0.0
228,-32.63,-3.86,7.0,0.0,0.0
229,-32.62,-3.86,5.0,0.0,0.0
230,-32.61,-3.86,4.0,0.0,0.0
231,-32.6,-3.86,4.0,0.0,0.0
232,-32.59,-3.86,10.0,0.0,0.0
233,-32.58,-3.86,5.0,0.0,0.0
234,-32.57,-3.86,6.0,0.0,0.0
235,-32.56,-3.86,10.0,0.0,0.0
236,-32.55,-3.86,3.0,0.0,0.0
237,-32.54,-3.86,9.0,0.0,0.0
238,-32.53,-3.86,4.0,0.0,0.0
239,-32.52,-3.86,5.0,0.0,0.0
240,-32.51,-3.86,5.0,0.0,0.0
241,-32.5,-3.86,1.0,0.0,0.0
242,-32.49,-3.86,7.0,0.0,4.0
243,-32.48,-3.86,9.0,0.0,0.0
244,-32.47,-3.86,10.0,0.0,0.0
245,-32.46,-3.86,2.0,0.0,0.0
246,-32.45,-3.86,2.0,0.0,0.0
247,-32.44,-3.86,5.0,0.0,0.0
248,-32.43,-3.86,5.0,0.0,0.0
249,-32.42,-3.86,2.0,0.0,0.0
250,-32.41,-3.86,5.0,0.0,0.0
251,-32.65,-3.85,7.0,0.0,0.0
252,-32.64,-3.85,3.0,0.0,0.0
253,-32.63,-3.85,6.0,0.0,0.0
254,-32.62,-3.85,9.0,0.0,0.0
255,-32.61,-3.85,6.0,0.0,0.0
256,-32.6,-3.85,9.0,0.0,0.0
257,-32.59,-3.85,4.0,0.0,0.0
258,-32.58,-3.85,0.0,0.0,0.0
259,-32.57,-3.85,9.0,0.0,0.0
260,-32.56,-3.85,0.0,0.0,0.0
261,-32.55,-3.85,5.0,0.0,0.0
262,-32.54,-3.85,9.0,0.0,0.0
263,-32.53,-3.85,9.0,0.0,0.0
264,-32.52,-3.85,1.0,0.0,0.0
265,-32.51,-3.85,8.0,0.0,0.0
266,-32.5,-3.85,6.0,0.0,0.0
267,-32.49,-3.85,0.0,0.0,0.0
