id,cf1,cf2,cf3,cf4,cf5
1,0.69,0.62,5.12,2.82,0.8
2,0.78,0.5,5.67,3.31,0.67
3,1.0,0.59,4.3,2.47,1.16
4,1.24,0.91,7.51,3.32,1.41
5,1.78,1.29,7.1,3.43,1.28
6,2.49,1.31,6.88,3.42,2.2
7,2.73,1.16,6.47,3.19,1.54
8,2.46,1.84,6.61,3.65,2.03
9,2.01,1.7,5.45,3.06,2.14
10,3.62,2.25,4.9,2.47,3.02
11,3.71,1.46,5.88,3.49,3.22
12,2.53,2.09,3.37,4.02,3.2
13,3.79,2.25,5.28,4.12,3.4
14,4.29,2.14,3.76,4.1,3.49
15,3.47,2.3,7.74,4.1,2.57
16,4.05,2.82,4.72,4.33,3.22
17,3.61,2.03,6.77,4.75,3.68
18,2.97,3.79,7.1,4.2,4.57
19,4.29,4.63,7.29,6.74,3.61
20,4.63,3.7,5.96,6.37,3.98
21,4.82,2.85,9.01,4.99,4.26
22,2.92,2.91,5.51,4.49,3.26
23,3.34,5.11,5.64,3.1,2.73
24,3.76,4.34,7.91,9.1,2.7
25,3.38,4.89,6.68,6.8,2.59
26,4.22,4.84,8.3,6.15,4.92
27,3.1,3.66,6.56,8.07,2.42
28,2.82,3.86,5.97,8.89,3.31
29,2.42,6.74,4.41,7.93,1.72
30,2.52,5.59,5.09,6.0,2.72
31,2.46,5.34,5.77,4.91,1.9
32,2.8,7.83,7.94,6.89,2.34
33,1.36,5.92,5.72,6.04,2.07
34,2.27,6.8,6.62,5.52,2.1
35,2.08,5.5,6.35,5.95,1.94
36,1.41,7.5,4.62,5.84,1.64
37,1.8,5.17,5.5,7.57,1.3
38,1.66,7.25,4.34,6.59,1.21
39,0.6,6.89,7.37,4.59,0.66
40,0.57,5.36,4.97,6.43,0.56
41,0.87,0.62,4.16,3.3,0.5
42,1.11,0.85,6.54,3.98,1.26
43,1.55,1.0,6.9,3.96,1.5
44,1.57,1.05,6.59,3.04,1.37
45,2.17,0.52,2.86,5.02,1.53
46,1.09,1.4,4.08,4.44,2.13
47,1.97,1.52,7.52,3.16,2.05
48,2.41,1.55,4.52,2.32,2.34
49,1.92,1.94,6.52,3.56,1.78
50,3.21,1.91,5.37,4.74,2.14
51,2.53,2.07,6.39,5.16,2.2
52,1.73,2.12,3.94,3.93,2.04
53,2.85,2.49,4.0,3.99,4.4
54,3.14,1.87,5.59,4.33,3.28
55,2.51,2.71,7.66,4.31,1.93
56,4.38,2.91,6.25,4.02,2.57
57,2.83,3.31,6.71,4.83,2.38
58,5.48,3.25,7.29,5.26,3.87
59,4.76,3.26,6.65,3.58,4.61
60,4.54,4.01,7.22,4.03,3.45
61,3.62,4.47,7.36,5.45,3.62
62,4.0,4.98,7.06,6.13,3.09
63,6.16,4.15,6.03,6.47,3.85
64,4.55,4.37,7.95,4.99,4.52
65,5.0,5.6,8.2,5.78,3.9
66,3.72,5.37,7.34,7.87,3.25
67,4.27,4.54,5.12,7.85,2.45
68,3.03,5.76,5.07,6.24,4.35
69,2.83,2.58,8.39,3.58,3.27
70,3.58,5.86,6.35,6.36,2.62
71,3.04,4.24,10.53,7.11,2.89
72,3.1,5.17,3.84,7.94,2.65
73,2.92,5.61,6.92,5.62,2.78
74,1.9,7.26,6.13,5.99,2.35
75,1.32,7.22,4.77,4.61,2.54
76,1.57,5.46,4.56,7.56,1.81
77,1.11,6.73,4.93,5.4,1.39
78,1.61,6.48,5.0,6.45,1.61
79,1.31,5.62,5.94,5.97,1.24
80,0.76,5.08,3.91,6.45,1.0
81,0.83,0.46,7.21,3.94,0.89
82,1.29,0.77,4.91,4.63,1.25
83,1.64,0.92,5.96,4.11,0.8
84,1.72,0.9,6.09,3.52,2.08
85,1.18,1.14,6.69,4.6,1.36
86,2.11,1.05,5.5,4.39,2.09
87,2.19,0.87,6.46,3.67,2.22
88,3.67,1.95,5.53,4.15,2.07
89,2.05,1.66,6.39,4.15,3.29
90,2.54,1.75,5.77,3.28,2.76
91,3.17,2.24,6.9,4.11,3.07
92,3.19,3.01,5.63,2.9,3.17
93,3.48,2.07,5.94,5.76,3.76
94,4.36,2.71,7.87,5.15,3.26
95,4.51,2.75,6.33,4.51,3.21
96,5.16,2.86,3.9,3.1,3.39
97,5.2,3.46,6.19,2.89,4.8
98,3.76,3.44,8.56,4.7,3.99
99,5.58,3.64,5.03,5.67,3.48
100,3.3,5.39,4.89,4.38,3.97
101,4.54,4.46,7.26,5.66,3.21
102,4.65,3.13,7.63,6.27,2.99
103,4.1,4.44,6.76,5.22,4.1
104,3.48,5.74,7.39,6.77,4.81
105,4.08,3.57,7.65,6.16,5.18
106,5.47,2.92,7.09,5.96,3.81
107,4.03,4.62,6.97,6.85,3.33
108,4.39,4.62,5.17,6.2,3.22
109,4.51,5.06,7.57,5.26,2.51
110,3.29,5.62,8.09,7.58,2.94
111,2.83,4.91,5.83,8.27,2.96
112,2.32,5.28,6.29,8.17,1.79
113,2.98,3.98,5.49,6.93,2.95
114,2.63,6.84,5.09,7.4,1.75
115,1.98,8.73,6.72,8.78,2.51
116,2.58,7.72,4.45,6.79,1.76
117,1.93,8.09,5.78,6.23,1.92
118,1.84,6.77,4.72,7.55,1.36
119,1.61,6.95,3.13,3.96,1.14
120,1.08,5.88,5.97,5.88,1.15
121,1.08,0.54,5.13,4.82,0.9
122,1.06,0.69,6.35,3.76,1.3
123,1.35,0.82,6.23,4.31,1.72
124,1.85,0.96,7.05,1.84,1.53
125,1.65,0.93,6.49,4.4,1.87
126,1.79,1.34,6.18,4.82,2.42
127,3.38,1.89,7.58,3.99,2.39
128,3.45,1.62,5.49,5.05,2.17
129,2.48,1.87,7.04,4.77,3.0
130,3.48,2.51,4.62,2.93,2.09
131,3.86,1.51,7.22,4.64,3.91
132,3.78,2.9,5.5,4.89,4.17
133,3.95,2.67,6.06,4.57,2.78
134,2.7,3.39,5.46,4.09,4.02
135,3.52,3.05,7.38,3.2,3.34
136,4.94,3.0,7.74,6.6,5.97
137,2.87,3.44,7.17,5.83,4.66
138,5.71,2.46,7.59,4.96,3.71
139,5.77,3.21,9.07,5.02,5.52
140,3.36,4.01,7.82,5.7,3.35
141,5.09,3.7,7.89,5.1,2.95
142,5.04,4.91,8.83,6.36,5.61
143,6.31,5.21,8.25,7.11,5.14
144,4.16,5.45,8.2,8.12,5.44
145,2.1,6.16,7.87,5.23,3.79
146,4.09,5.66,5.87,9.52,4.73
147,5.2,6.98,6.9,6.66,3.24
148,2.54,4.11,8.61,7.77,3.17
149,3.48,7.19,7.07,6.43,3.83
150,3.64,6.27,4.53,8.32,2.78
151,2.8,7.6,5.58,7.66,3.26
152,3.73,6.58,7.12,9.31,1.7
153,1.88,5.69,4.24,7.74,3.03
154,2.45,7.37,5.11,8.9,3.09
155,1.96,3.32,5.77,6.21,2.19
156,2.5,7.54,6.72,7.23,2.56
157,1.79,7.61,6.17,4.71,1.97
158,1.32,3.72,4.72,3.92,1.24
159,1.53,7.74,5.83,5.36,1.24
160,1.18,3.82,5.3,5.56,0.95
161,0.96,0.62,7.24,2.4,0.55
162,1.32,0.6,9.02,4.9,1.05
163,1.23,0.98,5.52,4.26,1.52
164,2.1,1.02,5.95,3.46,1.67
165,2.38,1.25,6.25,4.14,1.33
166,2.24,1.4,6.83,5.04,2.72
167,2.92,1.83,6.39,3.98,2.42
168,3.08,1.32,4.49,4.44,1.95
169,2.96,1.72,4.68,3.64,2.83
170,3.13,1.68,6.23,3.45,4.25
171,4.18,2.26,7.35,3.51,3.6
172,4.93,2.58,7.81,3.56,2.96
173,3.48,2.58,5.23,4.17,2.52
174,3.2,2.5,7.45,4.09,4.85
175,5.66,2.88,7.11,4.41,2.86
176,5.19,3.06,7.14,4.55,3.56
177,4.54,2.64,7.38,6.23,3.43
178,4.75,2.53,4.56,4.38,4.84
179,1.84,3.08,7.37,3.69,4.29
180,5.05,2.99,8.6,6.09,6.07
181,5.35,4.47,9.61,5.9,4.4
182,5.29,3.5,9.26,6.42,3.98
183,4.86,3.66,7.67,5.7,3.25
184,4.91,5.97,7.13,6.94,4.98
185,2.6,4.3,6.28,7.13,4.73
186,4.91,5.14,11.72,7.91,4.88
187,4.71,6.07,6.55,8.99,4.06
188,4.29,6.59,6.03,7.89,4.04
189,3.57,5.08,6.35,8.41,3.77
190,5.62,8.04,7.65,7.08,3.17
191,3.45,6.28,7.08,7.95,3.26
192,2.58,4.83,8.47,6.45,3.36
193,4.51,7.65,5.58,9.81,3.12
194,2.18,8.19,8.2,6.35,2.58
195,2.23,4.66,4.75,7.83,2.34
196,2.38,7.55,6.68,4.77,1.31
197,1.58,6.56,6.95,6.59,0.72
198,1.64,8.31,4.04,5.48,1.1
199,1.05,6.8,5.46,6.18,1.13
200,0.82,7.04,5.88,7.13,0.98
201,1.37,0.65,4.7,5.12,1.17
202,1.24,0.79,5.95,5.14,1.53
203,2.14,0.81,5.87,2.51,1.86
204,1.43,0.61,7.74,3.09,2.02
205,2.56,0.9,5.66,6.0,1.89
206,2.58,1.41,7.53,5.02,2.78
207,2.23,1.5,4.57,5.06,1.49
208,3.9,1.48,5.76,5.19,4.19
209,4.29,1.41,7.76,3.76,2.66
210,3.53,1.94,6.21,6.43,3.72
211,4.0,0.98,5.31,3.32,2.42
212,4.1,1.03,5.83,4.15,3.78
213,4.5,1.86,6.23,3.78,4.97
214,3.95,3.21,7.0,3.31,3.46
215,4.02,2.35,6.36,3.55,5.02
216,5.79,3.27,4.64,6.11,6.02
217,5.19,2.05,7.55,4.14,4.47
218,6.47,3.33,7.61,3.35,5.0
219,6.89,3.12,6.6,6.39,4.7
220,5.75,3.59,7.76,7.27,6.1
221,6.48,4.29,8.64,5.11,6.72
222,6.79,5.41,9.02,4.22,4.58
223,6.65,5.74,8.06,7.09,3.93
224,3.01,4.96,10.38,6.16,5.55
225,4.96,3.82,7.63,6.41,4.05
226,4.58,4.52,5.87,7.99,6.32
227,5.0,6.2,8.41,5.68,5.66
228,3.46,8.07,8.6,7.88,3.42
229,2.67,4.29,7.96,9.7,3.38
230,3.46,6.02,6.17,8.45,2.7
231,4.5,5.31,6.3,7.94,2.64
232,3.82,4.38,8.35,7.64,3.53
233,1.98,5.97,6.17,10.53,2.95
234,3.69,5.82,3.28,8.05,2.56
235,3.12,8.74,8.47,6.28,1.6
236,1.47,8.09,7.69,5.59,2.22
237,2.66,7.61,4.73,8.07,1.56
238,1.54,5.64,4.29,8.18,1.53
239,1.42,8.65,5.29,7.3,1.61
240,1.42,6.14,4.69,5.57,1.37
241,0.85,0.67,4.95,3.64,1.19
242,1.36,0.62,6.48,5.18,1.51
243,2.63,0.9,7.93,2.39,1.66
244,1.4,1.18,6.71,5.48,1.67
245,1.98,1.06,9.72,4.73,1.75
246,3.05,1.39,4.85,2.98,2.82
247,2.9,1.02,8.49,4.43,2.43
248,3.08,2.66,6.43,4.37,2.45
249,2.82,1.97,8.76,3.54,3.7
250,3.29,1.75,4.59,4.81,2.96
251,4.49,2.91,5.8,4.92,5.9
252,3.66,1.44,7.39,3.27,4.1
253,4.1,2.76,4.13,5.45,4.82
254,3.43,3.18,4.97,3.25,3.88
255,5.53,3.85,7.49,4.58,4.55
256,4.47,3.67,11.11,6.7,5.21
257,2.92,3.92,6.86,4.15,4.76
258,4.37,2.56,8.96,4.95,6.2
259,5.75,3.08,8.25,7.6,7.82
260,6.96,3.82,8.02,5.83,4.67
261,5.04,3.3,8.05,7.37,4.72
262,3.72,3.4,5.74,5.37,2.83
263,5.99,4.54,7.18,7.25,5.5
264,5.38,5.12,8.93,7.68,5.07
265,4.6,6.39,5.55,8.49,4.5
266,5.33,3.79,10.22,7.12,4.63
267,3.62,5.72,7.22,5.88,5.35
268,4.15,3.94,7.95,7.12,3.89
269,4.76,6.06,9.53,6.44,4.2
270,2.84,7.41,8.87,11.0,3.96
271,3.93,7.13,7.12,7.77,1.99
272,3.42,5.78,6.71,11.04,2.73
273,3.11,5.94,8.04,7.25,3.61
274,2.87,8.61,7.53,9.66,2.86
275,1.8,6.01,7.61,8.39,2.97
276,1.48,6.86,5.02,8.07,2.0
277,1.68,8.84,6.06,6.79,1.06
278,2.06,8.59,6.32,6.34,1.6
279,1.51,6.39,6.02,5.8,0.94
280,1.03,5.34,5.74,6.67,1.07
281,1.66,0.82,6.41,4.61,1.22
282,1.56,0.8,3.76,3.11,1.23
283,2.5,0.78,8.94,5.36,2.08
284,2.27,0.73,5.25,3.99,1.6
285,2.19,1.52,7.23,5.46,2.49
286,2.77,1.66,7.3,4.36,2.2
287,3.15,1.51,6.54,4.11,2.81
288,3.4,1.92,7.16,5.31,2.68
289,3.68,1.78,5.38,4.22,2.95
290,2.64,2.4,7.02,5.43,3.81
291,4.83,1.88,3.09,5.63,2.11
292,3.18,2.58,4.58,5.03,4.78
293,5.54,1.21,5.61,3.99,5.89
294,4.83,2.65,9.12,6.39,3.13
295,4.43,3.12,8.53,6.42,4.25
296,5.92,1.75,11.02,5.63,4.28
297,6.87,3.09,8.94,4.28,4.32
298,7.5,4.05,5.9,3.6,5.95
299,3.72,2.01,8.88,6.55,6.47
300,6.6,3.41,6.55,5.35,6.03
301,4.37,4.58,8.02,6.83,6.58
302,5.75,3.7,8.79,6.39,4.06
303,5.95,3.32,12.18,8.0,4.53
304,5.06,3.94,9.29,7.17,3.46
305,5.26,4.56,10.45,8.83,2.93
306,4.32,5.46,10.99,7.2,4.08
307,5.44,4.69,7.45,6.71,3.75
308,4.57,6.06,4.39,8.86,4.75
309,5.12,5.89,7.75,8.0,3.41
310,4.09,6.22,6.86,8.79,3.31
311,3.75,6.06,8.84,12.21,2.19
312,2.14,8.73,8.85,7.88,3.01
313,3.45,6.93,6.75,7.18,4.23
314,2.91,5.47,5.93,9.77,1.78
315,1.14,7.77,4.95,5.57,2.01
316,2.87,8.9,7.22,10.49,2.4
317,1.82,8.83,4.59,7.43,1.99
318,1.72,7.85,4.59,6.7,1.86
319,1.91,7.31,5.02,6.3,0.88
320,1.11,8.18,5.23,5.16,1.14
321,1.38,0.43,8.05,4.63,1.27
322,1.62,0.69,4.4,3.83,1.55
323,1.2,0.68,7.28,4.05,1.83
324,1.7,1.22,8.29,3.84,2.47
325,2.67,1.4,9.36,4.29,2.06
326,1.88,1.57,7.6,6.19,1.86
327,2.87,1.64,7.23,5.02,2.71
328,4.63,1.74,5.6,6.04,3.37
329,1.75,1.65,4.86,4.17,2.04
330,3.63,1.7,5.42,4.5,3.65
331,5.39,1.99,5.08,3.49,4.41
332,4.44,2.61,6.59,3.37,3.97
333,3.21,2.15,8.39,4.72,3.83
334,4.48,3.28,7.65,4.17,4.98
335,5.42,4.01,7.8,4.96,4.47
336,4.7,3.6,6.06,5.38,3.73
337,6.62,3.34,6.55,5.97,5.36
338,7.11,3.75,9.35,3.62,4.62
339,6.24,3.53,6.83,5.08,6.4
340,5.25,3.4,6.98,7.2,6.43
341,9.17,4.53,7.26,6.5,6.31
342,4.86,4.03,6.81,5.74,6.75
343,4.89,3.21,10.25,6.43,5.27
344,8.16,4.19,8.66,4.91,5.3
345,6.92,5.0,10.57,6.2,5.57
346,4.96,3.31,8.46,7.76,4.23
347,7.11,6.74,7.11,3.91,4.0
348,6.32,5.61,9.65,7.81,3.54
349,2.94,5.94,6.59,8.23,4.89
350,3.97,5.26,7.3,11.04,2.39
351,2.3,6.52,5.76,11.43,2.32
352,3.44,5.94,7.21,11.6,2.39
353,3.41,10.05,6.75,7.33,3.3
354,3.61,8.43,7.22,9.55,3.11
355,2.63,7.01,5.78,5.81,2.32
356,3.21,7.05,5.42,7.03,2.36
357,2.42,7.5,5.04,7.65,1.68
358,1.6,6.23,5.65,8.73,2.2
359,1.26,5.08,5.34,5.96,2.08
360,1.08,3.91,4.16,8.63,0.98
361,1.14,0.62,6.7,4.75,1.0
362,1.65,0.8,6.12,5.77,1.71
363,1.31,0.77,7.05,4.77,1.38
364,2.69,0.94,9.48,7.35,1.97
365,2.12,1.3,5.95,6.53,2.12
366,3.09,0.92,8.83,5.41,2.54
367,2.66,1.62,8.69,4.24,3.1
368,3.08,1.76,6.38,6.41,2.69
369,2.58,2.08,5.23,3.48,3.76
370,3.35,1.81,9.12,4.6,2.63
371,2.76,2.28,8.72,5.64,3.68
372,5.57,2.45,8.31,3.22,4.79
373,5.24,1.99,5.38,5.51,4.08
374,7.89,2.48,7.05,4.86,3.95
375,4.35,3.33,6.3,5.32,5.87
376,5.8,3.41,7.24,4.84,4.43
377,7.23,3.77,9.46,5.49,6.16
378,6.15,3.33,6.01,5.06,6.79
379,7.02,4.6,8.48,6.15,5.65
380,5.89,3.01,6.51,5.59,5.49
381,6.96,3.79,6.18,6.09,6.53
382,6.41,3.98,11.88,5.13,4.12
383,7.93,4.11,7.42,8.48,5.72
384,5.92,4.1,10.7,6.04,3.99
385,6.4,6.3,10.16,6.48,5.02
386,6.01,5.1,8.29,5.8,4.89
387,5.33,5.61,10.17,5.91,4.38
388,5.17,3.85,8.45,8.38,5.59
389,4.98,6.91,7.41,8.32,3.7
390,2.45,6.3,5.91,8.6,3.45
391,5.34,7.74,8.54,6.49,4.33
392,3.81,7.79,6.35,8.92,3.31
393,4.14,5.52,6.42,8.17,2.44
394,3.95,6.63,5.97,8.81,2.61
395,3.34,8.76,7.23,9.92,2.0
396,2.35,4.12,7.28,7.25,2.84
397,2.3,8.72,5.49,7.34,2.5
398,2.18,4.17,7.01,7.43,1.91
399,2.29,6.9,4.45,5.59,1.09
400,1.39,4.72,4.51,8.33,1.08
401,1.73,0.45,8.74,5.75,1.52
402,1.59,0.75,4.35,6.1,2.23
403,1.62,0.7,8.28,8.23,1.66
404,2.92,1.39,4.77,7.3,2.31
405,2.13,1.36,10.02,5.02,2.2
406,3.25,0.69,6.79,5.76,2.4
407,2.06,1.6,9.88,5.11,2.45
408,4.58,1.78,9.42,4.48,2.76
409,3.63,1.64,7.84,8.31,4.51
410,2.69,1.72,6.46,4.17,4.17
411,4.4,2.38,7.28,5.43,3.54
412,4.39,2.6,7.1,5.63,4.64
413,4.7,2.33,8.92,4.35,4.36
414,3.2,2.77,6.66,5.22,4.14
415,4.07,3.19,5.73,5.36,4.96
416,6.0,1.85,6.96,4.53,2.2
417,5.13,3.56,7.73,3.65,7.05
418,4.83,3.02,7.37,4.48,8.55
419,7.57,3.67,8.82,5.12,6.71
420,6.0,3.56,7.26,5.17,6.07
421,4.99,4.72,9.34,6.32,6.12
422,4.06,3.52,9.75,4.82,5.76
423,6.67,3.56,8.5,5.64,7.63
424,5.92,4.87,7.62,8.4,5.17
425,4.01,7.06,4.6,5.67,7.28
426,6.0,5.03,6.16,8.59,4.94
427,4.3,6.42,6.93,6.06,5.26
428,4.7,6.18,7.19,10.16,5.58
429,4.96,5.43,5.96,10.76,3.66
430,4.31,6.72,7.55,8.25,3.56
431,3.44,5.55,8.12,9.83,2.57
432,3.8,6.84,6.68,6.35,3.44
433,3.43,8.82,6.38,5.03,3.57
434,2.59,7.96,6.57,7.26,2.45
435,3.1,6.71,5.37,6.9,2.09
436,2.63,7.62,7.25,8.14,2.49
437,1.94,7.82,6.15,6.48,2.41
438,1.99,5.51,5.31,7.04,2.17
439,1.94,6.32,5.53,6.01,1.3
