id,cost,is_locked_out
1,3.0,0.0
2,10.0,0.0
3,2.0,0.0
4,7.0,0.0
5,1.0,0.0
6,3.0,0.0
7,8.0,0.0
8,3.0,0.0
9,6.0,0.0
10,7.0,0.0
11,5.0,0.0
12,8.0,0.0
13,3.0,0.0
14,10.0,0.0
15,4.0,0.0
16,6.0,0.0
17,2.0,0.0
18,6.0,0.0
19,7.0,0.0
20,5.0,0.0
21,9.0,0.0
22,8.0,0.0
23,6.0,0.0
24,4.0,0.0
25,10.0,0.0
26,8.0,0.0
27,5.0,0.0
28,10.0,0.0
29,4.0,0.0
30,8.0,0.0
31,3.0,0.0
32,10.0,0.0
33,2.0,0.0
34,7.0,0.0
35,2.0,0.0
36,8.0,0.0
37,5.0,0.0
38,3.0,0.0
39,4.0,0.0
40,8.0,0.0
41,8.0,0.0
42,3.0,0.0
43,4.0,0.0
44,5.0,0.0
45,4.0,0.0
46,10.0,0.0
47,6.0,0.0
48,4.0,0.0
49,8.0,0.0
50,2.0,0.0
51,8.0,0.0
52,2.0,0.0
53,3.0,0.0
54,8.0,0.0
55,8.0,0.0
56,5.0,0.0
57,8.0,0.0
58,8.0,0.0
59,6.0,0.0
60,1.0,0.0
61,10.0,0.0
62,8.0,0.0
63,4.0,0.0
64,1.0,0.0
65,5.0,0.0
66,7.0,0.0
67,6.0,0.0
68,5.0,0.0
69,6.0,0.0
70,1.0,0.0
71,3.0,0.0
72,4.0,0.0
73,9.0,0.0
74,10.0,0.0
75,4.0,0.0
76,3.0,0.0
77,2.0,0.0
78,10.0,0.0
79,9.0,0.0
80,3.0,0.0
81,4.0,0.0
82,1.0,0.0
83,5.0,0.0
84,9.0,0.0
85,8.0,0.0
86,4.0,0.0
87,4.0,0.0
88,9.0,0.0
89,4.0,0.0
90,7.0,0.0
91,2.0,0.0
92,2.0,0.0
93,3.0,0.0
94,3.0,0.0
95,9.0,0.0
96,5.0,0.0
97,2.0,0.0
98,10.0,0.0
99,4.0,0.0
100,7.0,0.0
101,4.0,0.0
102,2.0,0.0
103,8.0,0.0
104,8.0,0.0
105,10.0,0.0
106,5.0,0.0
107,2.0,0.0
108,1.0,0.0
109,10.0,0.0
