id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6
1,0.52,4.2,2.46,0.84,4.04,2.38
2,0.66,4.34,2.46,0.85,4.09,2.44
3,0.82,4.51,2.46,0.87,4.15,2.48
4,0.96,4.7,2.45,0.88,4.17,2.52
5,1.11,4.89,2.44,0.9,4.2,2.56
6,1.26,5.09,2.43,0.91,4.2,2.59
7,1.41,5.31,2.42,0.92,4.2,2.6
8,1.54,5.53,2.4,0.93,4.17,2.61
9,1.69,5.8,2.38,0.94,4.15,2.6
10,1.83,6.06,2.36,0.94,4.09,2.59
11,1.96,6.22,2.33,0.95,4.04,2.56
12,2.1,6.06,2.3,0.95,3.97,2.52
13,2.23,5.8,2.27,0.95,3.9,2.48
14,2.35,5.53,2.37,0.95,3.82,2.44
15,2.47,5.31,2.46,0.95,3.73,2.38
16,2.58,5.09,2.55,0.95,3.66,2.33
17,2.66,4.89,2.65,0.95,3.56,2.27
18,2.77,4.7,2.74,0.94,3.47,2.21
19,2.84,4.51,2.83,0.94,3.37,2.15
20,2.9,4.34,2.93,0.93,3.3,2.09
21,2.97,4.2,3.02,0.92,3.4,2.03
22,3.02,4.04,3.12,0.91,3.52,1.96
23,3.04,3.88,3.22,0.9,3.63,1.9
24,3.04,3.74,3.31,0.88,3.75,1.84
25,3.04,3.59,3.41,0.89,3.86,1.78
26,3.04,3.45,3.5,0.92,3.97,1.72
27,3.02,3.32,3.6,0.95,4.09,1.66
28,2.97,3.19,3.7,0.99,4.2,1.59
29,2.9,3.06,3.8,1.02,4.32,1.53
30,2.84,2.93,3.9,1.05,4.42,1.47
31,2.77,2.81,4.0,1.08,4.52,1.41
32,2.66,2.69,4.1,1.11,4.61,1.34
33,2.58,2.57,4.2,1.15,4.69,1.28
34,2.47,2.45,4.3,1.18,4.75,1.22
35,2.35,2.34,4.39,1.21,4.79,1.16
36,2.23,2.23,4.49,1.25,4.8,1.1
37,2.1,2.11,4.6,1.28,4.79,1.04
38,1.96,2.01,4.7,1.31,4.75,0.98
39,1.83,1.9,4.81,1.35,4.69,0.92
40,1.69,1.79,4.91,1.38,4.61,0.86
41,1.54,1.69,5.01,1.42,4.52,0.8
42,1.41,1.59,5.13,1.46,4.42,0.74
43,1.26,1.48,5.22,1.5,4.32,0.68
44,1.11,1.38,5.27,1.54,4.2,0.62
45,0.96,1.28,5.22,1.58,4.09,0.56
46,0.82,1.19,5.13,1.62,3.97,0.51
47,0.66,1.09,5.01,1.64,3.86,0.45
48,0.52,0.99,4.91,1.62,3.75,0.39
49,0.37,0.9,4.81,1.58,3.67,0.33
50,0.22,0.8,4.7,1.54,3.67,0.28
51,0.61,4.2,2.55,0.86,4.16,2.44
52,0.75,4.36,2.55,0.88,4.23,2.49
53,0.91,4.53,2.55,0.89,4.27,2.55
54,1.05,4.71,2.54,0.91,4.32,2.59
55,1.22,4.91,2.53,0.92,4.33,2.63
56,1.37,5.11,2.52,0.94,4.34,2.67
57,1.52,5.33,2.52,0.95,4.33,2.68
58,1.67,5.58,2.5,0.96,4.32,2.69
59,1.83,5.87,2.47,0.97,4.27,2.68
60,1.96,6.22,2.45,0.97,4.23,2.67
61,2.1,6.9,2.42,0.98,4.16,2.63
62,2.25,6.22,2.39,0.98,4.09,2.59
63,2.39,5.87,2.36,0.99,4.01,2.55
64,2.52,5.58,2.37,0.99,3.93,2.49
65,2.64,5.33,2.46,0.99,3.84,2.44
66,2.75,5.11,2.55,0.98,3.73,2.38
67,2.86,4.91,2.65,0.98,3.65,2.32
68,2.97,4.71,2.74,0.97,3.55,2.25
69,3.06,4.53,2.83,0.97,3.45,2.19
70,3.13,4.36,2.93,0.96,3.39,2.13
71,3.2,4.2,3.02,0.95,3.47,2.06
72,3.22,4.04,3.12,0.94,3.56,2.0
73,3.27,3.88,3.22,0.92,3.68,1.93
74,3.27,3.74,3.31,0.91,3.8,1.87
75,3.27,3.59,3.41,0.89,3.92,1.81
76,3.27,3.45,3.5,0.92,4.04,1.74
77,3.22,3.32,3.6,0.95,4.16,1.68
