id,cf1,cf2,cf3,cf4,cf5,cf6,cf7,cf8,cf9,cf10
1,1.0,1.58,9.37,6.1,5.17,0.27,7.3,4.77,3.59,7.53
2,1.71,0.73,5.85,4.51,11.57,0.43,8.77,3.64,4.45,9.94
3,2.85,2.17,10.19,3.14,15.76,0.42,8.77,4.71,4.35,7.53
4,2.3,1.1,8.04,2.34,0.0,0.47,10.11,4.12,4.47,9.15
5,2.31,1.62,10.49,5.47,14.67,0.32,9.43,5.5,4.3,8.24
6,1.67,1.79,10.21,6.25,7.59,0.41,8.72,2.98,3.94,9.25
7,2.2,2.39,13.6,4.09,24.29,0.38,9.41,3.29,6.05,8.33
8,2.74,0.89,15.17,6.39,24.45,0.51,9.3,6.49,5.0,8.6
9,1.3,2.32,10.69,6.8,15.38,0.57,9.53,2.95,8.31,8.78
10,1.55,2.79,17.16,6.45,33.13,0.48,9.3,6.35,4.64,8.72
11,3.57,2.47,10.34,6.61,17.27,0.43,10.5,4.95,6.36,8.39
12,3.13,2.03,12.13,8.1,26.98,0.33,8.22,4.22,5.62,10.11
13,0.0,2.27,14.64,6.81,29.55,0.35,10.46,4.53,5.13,9.68
14,1.68,2.78,13.71,6.0,39.92,0.38,8.18,4.43,5.34,8.96
15,1.26,2.48,10.84,6.15,40.28,0.41,10.1,6.01,6.75,8.24
16,1.5,2.53,15.53,6.86,22.32,0.64,8.32,6.71,6.33,7.96
17,3.58,2.62,13.42,8.27,44.79,0.34,9.52,5.62,4.84,8.65
18,2.34,2.41,12.63,7.12,20.17,0.44,8.74,5.59,8.05,9.57
19,1.12,2.05,15.23,7.72,30.42,0.38,9.53,5.29,7.54,9.6
20,2.02,2.36,15.93,10.28,51.63,0.43,8.18,3.83,8.22,7.37
21,1.72,2.62,14.32,7.87,29.15,0.44,8.33,7.14,8.91,9.39
22,3.38,1.56,12.44,7.09,60.16,0.71,10.0,7.22,7.78,8.48
23,1.4,2.44,13.41,8.26,39.4,0.31,7.19,5.42,7.03,5.93
24,1.78,1.95,14.01,7.65,33.46,0.58,10.77,5.45,8.78,8.56
25,2.73,2.42,10.22,7.09,48.72,0.6,9.53,7.95,8.15,7.34
26,2.22,2.04,13.35,7.71,56.67,0.53,10.54,6.28,6.67,8.57
27,1.46,2.36,14.02,6.05,37.68,0.3,9.08,7.3,7.35,9.31
28,2.02,2.91,9.82,7.4,78.28,0.45,7.58,8.65,9.08,5.71
29,2.86,2.96,12.41,7.21,59.48,0.45,10.12,9.1,5.85,7.02
30,1.78,1.84,11.75,5.64,58.24,0.31,9.71,8.83,8.48,5.97
31,3.79,1.63,10.58,6.26,51.98,0.39,8.95,7.91,5.15,6.07
32,2.29,2.25,13.6,7.1,62.45,0.48,9.57,6.14,8.43,6.17
33,1.58,2.11,7.11,5.8,72.02,0.32,8.25,10.71,8.14,4.44
34,3.8,2.83,13.1,5.21,57.91,0.53,7.48,9.99,9.0,7.22
35,2.32,2.61,11.53,4.97,63.98,0.24,8.29,8.23,5.13,4.58
36,2.07,2.45,8.48,6.21,71.15,0.15,8.38,7.1,5.35,5.41
37,4.25,1.36,12.96,5.39,66.88,0.4,9.63,9.04,5.7,4.68
38,1.42,1.3,10.25,5.71,72.59,0.4,8.43,8.55,6.14,3.99
39,3.17,1.86,11.61,5.06,85.72,0.27,11.46,9.83,9.22,5.52
40,3.79,1.43,9.42,4.6,71.02,0.44,10.98,7.76,5.49,4.7
41,2.33,0.37,8.56,4.72,66.29,0.22,8.98,9.45,6.42,5.33
42,0.63,0.92,7.87,3.15,66.15,0.54,8.96,8.39,4.71,5.9
43,1.96,0.81,9.31,2.53,62.2,0.17,8.55,9.66,3.27,4.06
44,1.17,1.24,8.2,4.52,65.93,0.33,7.57,7.76,5.9,4.91
45,3.1,0.21,3.57,4.02,60.29,0.32,10.38,8.54,6.85,3.45
46,2.22,0.34,4.55,3.73,50.45,0.33,10.04,8.17,3.46,3.16
47,0.0,0.72,1.92,5.8,52.19,0.42,8.4,7.52,4.35,4.1
48,0.0,0.0,4.7,4.46,77.52,0.22,9.56,7.99,4.18,2.15
49,0.0,0.7,4.54,2.94,57.65,0.28,9.31,7.41,5.16,4.34
50,0.59,0.0,2.56,2.5,46.91,0.35,9.07,8.28,4.06,4.43
51,2.03,1.41,8.44,5.11,13.9,0.57,9.15,3.74,2.28,7.53
52,3.67,0.58,9.28,4.69,17.63,0.51,8.56,4.67,3.17,8.52
53,1.52,1.26,10.02,7.06,0.01,0.37,8.76,4.35,5.41,7.63
54,1.15,1.72,9.66,5.27,11.59,0.41,8.52,5.65,4.27,8.97
55,2.52,0.76,12.81,7.09,11.85,0.5,10.73,6.08,3.88,6.65
56,1.03,2.07,10.02,5.74,17.62,0.47,7.96,6.2,5.24,8.27
57,2.76,1.89,13.17,6.64,32.76,0.45,9.72,6.28,4.33,9.53
58,1.7,2.21,12.99,6.12,0.0,0.61,9.33,4.01,5.54,7.32
59,0.87,1.94,16.3,5.5,16.75,0.62,10.8,4.76,7.69,9.9
60,2.63,1.18,13.77,4.59,33.28,0.51,10.06,6.05,3.77,8.5
61,0.99,2.33,15.42,8.23,24.54,0.57,10.85,6.11,6.08,10.07
62,0.9,1.77,14.64,6.46,30.98,0.45,8.36,6.78,4.7,9.48
63,5.4,2.38,14.13,8.41,33.16,0.39,8.94,4.33,5.06,11.07
64,1.52,2.14,14.97,7.45,30.47,0.34,10.11,4.5,5.69,9.63
65,4.04,1.98,13.12,8.43,35.47,0.4,8.41,5.88,7.62,10.87
66,2.78,2.45,16.52,9.43,35.5,0.45,8.74,4.09,6.06,9.19
67,3.68,2.21,14.17,7.26,52.53,0.45,8.83,6.43,8.07,11.24
68,3.68,2.89,16.48,7.54,39.39,0.47,9.03,5.8,9.39,7.67
69,3.36,2.45,17.0,7.52,24.29,0.32,7.56,4.93,8.13,6.07
70,3.61,2.54,11.26,8.21,49.15,0.47,7.38,7.2,6.09,8.91
71,3.47,2.97,13.25,7.24,50.32,0.45,8.82,6.67,9.12,8.86
72,2.46,1.38,10.31,7.89,56.98,0.41,9.03,7.24,7.75,7.24
73,2.6,2.82,13.17,8.01,33.97,0.35,9.86,6.76,9.56,7.5
74,3.62,2.34,12.46,7.85,57.76,0.31,9.95,7.8,6.26,8.47
75,3.06,2.74,14.45,7.54,58.47,0.48,9.84,7.25,8.68,6.94
76,2.03,2.62,15.13,7.68,37.58,0.52,8.68,5.27,10.13,7.14
77,1.62,1.87,10.96,7.96,61.0,0.61,9.38,9.73,8.21,7.27
78,4.07,2.72,16.07,6.45,63.06,0.57,10.41,6.95,7.02,7.67
79,2.8,2.67,13.84,8.16,63.6,0.49,10.68,8.65,8.2,4.81
80,2.39,2.25,12.55,7.13,69.26,0.55,10.98,7.71,8.26,6.39
81,3.59,2.63,11.83,4.79,75.89,0.44,8.63,8.89,9.1,6.24
82,3.13,1.9,12.57,6.27,68.46,0.55,11.07,10.53,7.42,6.31
83,2.7,0.95,14.72,7.13,65.63,0.51,12.48,9.64,7.33,5.46
84,2.23,2.53,13.82,6.17,75.47,0.41,9.76,6.28,6.96,5.47
85,1.84,2.18,8.65,5.88,68.29,0.49,9.71,8.68,5.82,4.45
86,2.92,1.96,10.44,7.03,50.78,0.35,8.73,8.9,5.6,4.89
87,1.11,1.91,10.78,5.33,72.29,0.25,8.68,8.82,6.96,4.16
88,3.08,1.0,10.18,5.28,68.98,0.47,10.95,8.04,6.82,4.04
89,1.49,0.76,10.22,5.34,68.93,0.25,9.63,10.49,5.38,4.74
90,0.97,2.23,8.52,4.08,68.38,0.42,9.15,10.14,5.69,5.28
91,2.46,1.56,8.12,5.11,57.14,0.31,10.17,8.75,5.3,7.7
92,0.63,2.41,12.77,3.03,78.47,0.36,10.99,8.57,4.95,4.02
93,2.05,1.6,4.32,4.55,74.04,0.31,8.9,8.05,6.56,3.4
94,2.92,1.38,8.57,3.87,66.29,0.41,9.59,10.49,4.55,3.66
95,0.0,0.61,11.26,3.57,71.07,0.18,9.41,9.07,4.79,4.51
96,0.42,0.37,2.55,3.8,55.17,0.44,10.17,8.93,4.37,4.21
97,2.66,0.88,5.73,4.38,59.13,0.36,10.34,8.27,4.86,4.47
98,1.38,0.46,6.3,2.71,72.82,0.39,10.68,9.06,3.62,2.7
99,1.7,1.05,6.02,3.1,68.65,0.28,9.98,7.42,3.72,2.84
100,0.0,0.11,0.0,2.9,65.32,0.25,7.67,8.42,3.53,4.62
101,2.62,1.17,11.31,3.88,16.66,0.61,9.74,5.29,4.81,6.81
102,2.4,1.78,8.96,7.07,7.59,0.43,10.12,4.92,4.16,7.69
103,4.12,1.74,11.93,4.97,18.36,0.35,10.0,4.99,4.85,8.9
104,0.81,1.97,10.35,6.0,4.12,0.51,9.59,6.66,4.42,7.74
105,1.1,1.67,10.75,4.83,17.4,0.42,8.52,3.39,4.4,8.68
106,1.6,2.01,12.87,5.81,13.01,0.41,9.91,4.21,2.66,8.83
107,1.97,2.1,9.1,5.91,19.92,0.4,9.14,3.5,2.92,9.3
108,3.31,2.12,17.23,8.74,22.21,0.4,10.19,6.19,4.8,8.6
109,2.32,2.23,10.88,6.56,18.14,0.63,9.33,4.23,5.47,10.45
110,1.99,3.04,13.43,7.75,38.3,0.39,11.33,5.36,5.71,8.87
111,4.82,2.19,18.25,7.22,33.04,0.31,9.81,4.9,7.02,11.35
112,2.35,2.53,15.56,7.43,32.25,0.41,8.5,4.79,6.61,10.09
113,1.94,2.12,14.61,8.33,30.43,0.77,9.92,4.25,6.58,8.6
114,2.54,2.55,15.34,6.47,31.4,0.65,8.79,4.73,7.07,10.82
115,2.17,1.79,14.04,7.79,42.02,0.46,7.87,5.04,7.91,10.29
116,4.19,3.38,14.15,8.69,43.33,0.38,9.58,6.6,5.55,10.02
117,1.95,1.01,15.77,8.99,33.5,0.54,9.49,5.01,6.27,9.26
118,4.62,2.72,17.23,7.35,39.58,0.44,9.42,5.49,7.79,8.38
119,5.27,2.1,16.62,7.66,42.93,0.56,9.78,7.32,7.68,8.26
120,2.78,3.13,15.26,9.17,43.92,0.47,10.86,7.62,7.58,7.66
121,2.67,2.82,12.58,9.27,58.09,0.6,9.06,7.0,8.8,7.91
122,3.34,3.39,18.25,6.19,54.97,0.61,9.58,8.74,8.8,7.01
123,3.74,2.22,14.32,8.45,53.87,0.52,9.81,7.88,8.9,7.39
124,2.93,2.36,14.86,7.14,66.55,0.42,9.86,7.09,7.6,6.88
125,1.66,2.34,16.5,8.44,50.28,0.54,8.92,8.16,9.44,5.37
126,2.21,1.97,14.4,7.66,66.0,0.44,8.76,7.35,9.41,6.9
127,4.32,2.54,16.0,8.69,47.27,0.51,8.98,7.72,8.25,6.57
128,1.09,2.58,11.83,5.97,65.57,0.57,10.06,6.45,9.48,7.83
129,1.76,2.36,15.07,8.02,70.84,0.63,10.68,8.4,7.06,6.97
130,3.02,2.54,17.86,4.72,67.41,0.38,8.95,9.13,8.9,4.39
131,2.36,3.25,12.14,7.48,42.74,0.47,8.83,7.27,7.23,5.2
132,3.01,2.83,13.45,6.37,80.86,0.4,9.26,7.67,7.46,7.07
133,3.02,2.13,13.73,5.92,64.8,0.52,10.37,9.42,8.26,7.29
134,3.05,1.5,12.27,6.71,76.07,0.3,9.5,9.86,10.34,4.57
135,1.56,1.23,14.7,8.51,77.91,0.34,9.19,8.76,7.22,5.92
136,1.59,1.68,15.6,5.36,94.81,0.42,9.89,9.55,6.82,6.07
137,2.75,1.73,14.28,5.2,69.97,0.49,8.92,7.74,7.57,4.78
138,0.1,1.24,12.58,4.56,75.52,0.12,9.51,8.83,7.71,4.95
139,2.0,1.81,12.43,7.63,61.5,0.32,10.02,8.68,4.77,5.56
140,1.91,1.52,10.4,4.87,77.27,0.27,9.47,9.68,5.94,5.03
141,1.66,1.32,11.47,3.05,68.0,0.37,9.98,7.16,4.92,4.21
142,1.2,2.61,7.46,3.94,64.08,0.34,9.92,9.51,4.63,6.77
143,3.59,0.85,8.57,4.58,72.77,0.27,10.6,9.6,5.64,4.19
144,0.68,0.78,7.16,3.82,68.51,0.26,10.68,8.78,5.33,4.38
145,2.28,0.86,8.98,5.93,67.74,0.37,10.44,7.96,5.26,4.94
146,0.8,0.59,8.12,4.41,87.01,0.37,9.55,8.66,4.78,3.96
147,1.43,0.93,6.82,2.73,61.41,0.36,9.18,9.91,2.77,3.16
148,2.07,0.84,8.53,4.17,68.25,0.13,10.85,8.03,3.91,4.89
149,0.0,1.05,1.23,3.04,66.37,0.19,10.14,8.74,3.97,5.19
150,0.59,0.99,0.26,1.87,63.96,0.01,9.55,8.94,3.82,4.56
151,3.72,2.34,11.46,6.06,23.06,0.36,10.66,6.0,2.15,6.57
152,2.68,1.84,9.89,4.46,9.83,0.53,10.19,6.44,3.64,9.51
153,1.72,2.24,15.1,4.35,18.45,0.69,10.02,6.18,4.11,7.96
154,1.21,2.93,16.28,5.25,8.0,0.46,10.91,5.78,2.73,9.11
155,3.27,1.84,11.51,5.05,7.22,0.51,8.11,5.73,4.39,8.26
156,0.85,1.8,11.76,7.17,22.99,0.51,11.43,5.06,3.85,6.85
157,2.76,1.84,14.25,8.27,27.16,0.62,9.47,5.48,4.25,9.92
158,3.88,1.97,17.41,6.05,41.37,0.46,7.28,4.69,4.07,9.36
159,4.37,1.96,16.67,6.89,26.98,0.48,9.86,4.96,4.89,7.77
160,3.06,1.6,12.97,8.11,34.49,0.66,8.88,5.54,5.23,8.55
161,3.99,2.71,17.11,8.44,36.5,0.45,10.69,6.08,5.8,6.71
162,1.91,1.88,11.52,7.61,21.73,0.54,7.54,5.76,5.46,10.0
163,3.05,2.31,11.25,7.31,26.99,0.39,10.33,5.03,6.3,10.31
164,4.12,3.82,13.2,7.0,23.63,0.51,8.39,5.97,6.73,10.23
165,3.44,2.0,15.26,7.58,26.35,0.41,9.01,3.32,7.25,8.89
166,3.57,3.0,14.57,7.79,21.22,0.41,9.18,5.57,5.58,9.85
167,3.25,2.68,16.19,7.78,26.88,0.5,8.86,6.51,6.26,10.19
168,4.04,2.64,16.11,7.7,43.92,0.45,8.17,4.54,5.86,8.65
169,3.25,3.13,13.51,9.35,49.11,0.57,9.44,5.12,7.38,9.98
170,3.31,2.85,16.49,7.08,39.53,0.57,9.48,6.1,7.96,9.48
171,1.62,2.2,12.99,7.57,52.5,0.5,9.89,7.76,7.59,7.55
172,4.06,2.54,16.13,8.1,44.59,0.54,10.59,7.74,7.88,10.42
173,4.03,2.98,12.76,7.99,29.13,0.52,7.91,4.59,11.01,7.12
174,5.11,2.13,17.22,9.6,40.67,0.58,9.05,9.36,8.8,8.12
175,1.59,2.9,14.33,6.4,50.08,0.39,8.2,5.53,9.95,7.29
176,3.4,2.38,15.5,7.9,77.58,0.54,9.73,6.59,9.7,6.95
177,3.43,2.24,11.38,7.65,58.37,0.54,7.78,10.34,9.84,7.54
178,2.75,2.41,11.52,6.36,59.18,0.42,10.33,4.77,9.0,6.98
179,3.48,2.05,16.28,5.74,81.1,0.47,8.4,8.37,10.23,8.57
180,1.01,2.64,13.77,7.93,66.29,0.49,9.28,8.65,10.28,5.8
181,1.27,3.25,17.88,7.27,66.45,0.5,10.26,9.37,9.59,5.63
182,2.01,3.11,18.25,7.64,76.26,0.4,9.8,9.28,7.2,5.65
183,2.16,2.66,13.11,8.18,55.03,0.61,9.41,8.89,7.96,7.27
184,3.95,1.96,13.11,8.48,62.0,0.52,8.92,7.63,6.67,7.58
185,3.86,2.24,14.84,5.14,59.18,0.44,9.19,8.53,6.67,6.19
186,3.53,1.98,13.42,5.74,63.53,0.57,10.86,8.38,5.08,4.7
187,2.26,2.77,11.21,6.4,79.26,0.32,8.5,8.85,6.32,5.81
188,1.93,2.27,12.16,5.56,68.74,0.34,8.2,8.96,7.02,5.48
189,3.27,1.42,14.63,3.39,74.62,0.33,9.85,9.06,5.46,4.25
190,1.95,0.92,12.28,5.38,75.94,0.16,11.55,8.29,4.5,4.53
191,1.21,0.96,10.78,4.01,74.13,0.33,10.72,7.71,5.72,5.54
192,0.0,2.48,9.97,5.63,81.89,0.42,9.86,9.83,6.71,5.99
193,2.07,0.87,11.53,3.67,59.37,0.24,9.42,10.07,4.82,6.01
194,1.51,1.47,7.85,3.7,69.54,0.2,9.59,10.29,5.49,4.85
195,1.56,1.52,12.08,3.21,69.4,0.39,8.39,10.89,5.22,5.82
196,0.29,0.93,5.83,5.09,68.96,0.1,9.36,7.52,3.75,5.05
197,2.55,0.64,9.19,4.59,77.55,0.27,9.64,9.68,5.03,4.83
198,0.47,0.56,5.06,2.67,80.85,0.18,9.72,8.58,2.92,4.02
199,0.19,0.92,7.3,4.27,44.55,0.18,10.01,9.66,4.49,4.54
200,0.8,0.34,7.22,3.27,73.92,0.39,8.65,7.12,3.35,4.21
201,2.75,2.34,11.23,6.41,0.0,0.24,9.41,7.09,2.54,6.84
202,1.76,2.42,12.68,5.31,16.38,0.39,8.95,6.26,3.89,8.07
203,0.0,1.28,11.55,5.56,27.94,0.35,10.69,7.71,5.06,10.29
204,1.83,1.67,13.12,8.57,25.13,0.44,9.63,6.17,3.6,7.88
205,1.05,1.44,13.11,5.74,0.0,0.58,10.47,4.8,3.97,9.56
206,3.26,2.27,12.24,6.76,17.87,0.46,10.23,6.06,3.41,10.35
207,3.64,2.3,15.85,6.22,40.71,0.55,7.64,6.83,6.85,9.08
208,2.64,2.57,9.87,7.94,20.2,0.39,11.38,5.11,4.41,9.13
209,2.29,2.58,14.65,8.37,26.17,0.49,8.79,4.82,6.85,10.25
210,2.31,2.16,12.83,7.82,26.64,0.5,9.11,5.57,4.95,8.84
211,3.76,2.62,12.47,8.18,25.01,0.44,9.39,5.23,5.35,10.48
212,4.41,2.18,12.57,7.4,31.84,0.43,7.97,3.63,7.22,11.75
213,2.38,2.58,18.58,6.47,42.47,0.32,9.96,5.5,7.03,9.05
214,3.33,2.52,18.33,8.17,32.63,0.54,10.23,5.58,7.33,9.53
215,2.52,3.3,18.71,7.13,63.2,0.52,9.94,4.07,4.78,8.66
