id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6,m_cf7,m_cf8,m_cf9,m_cf10
1,1.39,1.29,8.99,4.84,8.0,0.4,9.02,4.66,3.32,7.52
2,1.5,1.38,9.54,5.06,10.11,0.41,9.07,4.66,3.53,7.7
3,1.61,1.48,10.08,5.28,12.0,0.42,9.1,4.64,3.74,7.88
4,1.7,1.56,10.53,5.47,13.89,0.42,9.12,4.64,3.93,8.07
5,1.8,1.64,10.97,5.68,16.0,0.43,9.15,4.6,4.15,8.25
6,1.9,1.72,11.4,5.88,17.89,0.43,9.16,4.59,4.37,8.41
7,1.98,1.79,11.74,6.07,19.79,0.44,9.16,4.55,4.59,8.59
8,2.09,1.87,12.15,6.26,21.68,0.44,9.16,4.52,4.79,8.74
9,2.17,1.94,12.49,6.43,23.79,0.44,9.15,4.52,5.01,8.88
10,2.24,1.99,12.75,6.62,25.68,0.44,9.12,4.69,5.21,9.02
11,2.33,2.06,13.07,6.76,27.58,0.44,9.1,4.86,5.44,9.12
12,2.4,2.11,13.32,6.93,29.47,0.43,9.07,5.02,5.65,9.19
13,2.45,2.15,13.5,7.07,31.37,0.43,9.02,5.19,5.89,9.21
14,2.5,2.19,13.69,7.19,33.05,0.44,8.97,5.36,6.1,9.19
15,2.56,2.23,13.87,7.31,34.95,0.45,8.92,5.52,6.32,9.12
16,2.59,2.26,13.99,7.41,36.84,0.46,8.85,5.69,6.54,9.02
17,2.63,2.28,14.1,7.51,38.53,0.47,8.79,5.86,6.76,8.88
18,2.65,2.3,14.16,7.55,40.42,0.48,8.71,6.02,6.99,8.74
19,2.67,2.31,14.22,7.6,42.11,0.48,8.62,6.19,7.2,8.59
20,2.67,2.31,14.22,7.6,44.0,0.49,8.59,6.34,7.41,8.41
21,2.67,2.31,14.22,7.6,45.68,0.49,8.73,6.52,7.6,8.25
22,2.67,2.31,14.22,7.55,47.37,0.5,8.85,6.67,7.79,8.07
23,2.67,2.31,14.22,7.51,49.05,0.5,8.98,6.83,7.96,7.88
24,2.65,2.3,14.16,7.41,50.74,0.5,9.1,6.98,8.07,7.7
25,2.63,2.28,14.1,7.31,52.21,0.49,9.2,7.14,8.16,7.52
26,2.59,2.26,13.99,7.19,53.89,0.49,9.31,7.29,8.18,7.33
27,2.56,2.23,13.87,7.07,55.37,0.48,9.41,7.45,8.16,7.13
28,2.5,2.19,13.69,6.93,56.84,0.48,9.49,7.6,8.07,6.95
29,2.45,2.15,13.5,6.76,58.32,0.47,9.56,7.76,7.96,6.76
30,2.4,2.11,13.32,6.62,59.58,0.46,9.64,7.9,7.79,6.56
31,2.33,2.06,13.07,6.43,60.84,0.45,9.7,8.03,7.6,6.39
32,2.24,1.99,12.75,6.26,62.11,0.44,9.75,8.17,7.41,6.19
33,2.17,1.94,12.49,6.07,63.16,0.43,9.81,8.29,7.2,5.99
34,2.09,1.87,12.15,5.88,64.21,0.41,9.85,8.41,6.99,5.8
35,1.98,1.79,11.74,5.68,65.05,0.4,9.88,8.52,6.76,5.6
36,1.9,1.72,11.4,5.47,65.89,0.39,9.91,8.6,6.54,5.42
37,1.8,1.64,10.97,5.28,66.74,0.38,9.92,8.69,6.32,5.25
38,1.7,1.56,10.53,5.06,67.37,0.36,9.94,8.74,6.1,5.17
39,1.61,1.48,10.08,4.84,67.79,0.35,9.94,8.78,5.89,5.07
40,1.5,1.38,9.54,4.63,68.21,0.34,9.94,8.79,5.65,4.97
41,1.39,1.29,8.99,4.41,68.42,0.33,9.92,8.78,5.44,4.87
42,1.28,1.2,8.43,4.2,68.42,0.31,9.91,8.74,5.21,4.77
43,1.17,1.1,7.85,3.98,68.42,0.3,9.88,8.69,5.01,4.66
44,1.06,1.01,7.25,3.76,68.21,0.29,9.85,8.6,4.79,4.54
45,0.95,0.9,6.56,3.55,67.79,0.27,9.81,8.52,4.59,4.42
46,0.84,0.81,5.93,3.31,67.37,0.26,9.75,8.41,4.37,4.28
47,0.73,0.7,5.2,3.09,66.74,0.25,9.7,8.29,4.15,4.17
48,0.61,0.59,4.45,2.88,65.89,0.24,9.64,8.17,3.93,4.03
49,0.5,0.48,3.68,2.64,65.05,0.22,9.56,8.03,3.74,3.89
50,0.38,0.38,2.9,2.42,64.21,0.21,9.49,7.9,3.53,3.75
51,1.5,1.38,9.54,4.96,8.84,0.42,9.14,4.83,3.36,7.56
52,1.61,1.48,10.08,5.18,10.74,0.43,9.17,4.83,3.57,7.76
53,1.72,1.57,10.6,5.4,12.84,0.43,9.2,4.81,3.78,7.96
54,1.84,1.67,11.11,5.59,14.74,0.44,9.23,4.81,3.98,8.13
55,1.93,1.75,11.54,5.8,16.63,0.45,9.26,4.78,4.19,8.33
56,2.04,1.83,11.95,6.02,18.74,0.45,9.27,4.76,4.41,8.51
57,2.14,1.91,12.35,6.21,20.63,0.46,9.27,4.72,4.63,8.68
58,2.22,1.98,12.68,6.4,22.53,0.46,9.27,4.69,4.85,8.86
59,2.31,2.04,13.0,6.59,24.63,0.46,9.26,4.66,5.05,9.02
60,2.4,2.11,13.32,6.76,26.53,0.46,9.23,4.72,5.28,9.17
61,2.49,2.18,13.63,6.95,28.42,0.46,9.2,4.9,5.51,9.29
62,2.56,2.23,13.87,7.12,30.32,0.45,9.17,5.07,5.72,9.37
63,2.63,2.28,14.1,7.27,32.21,0.45,9.14,5.22,5.96,9.41
64,2.69,2.33,14.28,7.41,34.11,0.45,9.08,5.4,6.2,9.37
65,2.74,2.37,14.45,7.53,36.0,0.46,9.03,5.57,6.42,9.29
66,2.78,2.39,14.56,7.65,37.89,0.48,8.97,5.74,6.64,9.17
67,2.82,2.42,14.67,7.72,39.58,0.49,8.89,5.9,6.89,9.02
68,2.83,2.43,14.73,7.79,41.47,0.5,8.81,6.07,7.12,8.86
69,2.85,2.45,14.78,7.82,43.37,0.5,8.73,6.24,7.33,8.68
70,2.85,2.45,14.78,7.84,45.05,0.51,8.64,6.4,7.57,8.51
71,2.85,2.45,14.78,7.82,46.95,0.51,8.76,6.57,7.79,8.33
72,2.85,2.45,14.78,7.79,48.63,0.52,8.88,6.72,7.98,8.13
73,2.85,2.45,14.78,7.72,50.32,0.52,9.01,6.9,8.18,7.96
74,2.83,2.43,14.73,7.65,52.0,0.52,9.12,7.05,8.33,7.76
75,2.82,2.42,14.67,7.53,53.68,0.51,9.23,7.21,8.45,7.56
76,2.78,2.39,14.56,7.41,55.16,0.51,9.34,7.38,8.48,7.39
77,2.74,2.37,14.45,7.27,56.84,0.5,9.42,7.53,8.45,7.19
78,2.69,2.33,14.28,7.12,58.32,0.5,9.51,7.69,8.33,6.99
79,2.63,2.28,14.1,6.95,59.79,0.49,9.6,7.84,8.18,6.8
80,2.56,2.23,13.87,6.76,61.26,0.48,9.66,7.98,7.98,6.6
81,2.49,2.18,13.63,6.59,62.53,0.46,9.73,8.14,7.79,6.42
82,2.4,2.11,13.32,6.4,63.79,0.45,9.78,8.28,7.57,6.23
83,2.31,2.04,13.0,6.21,65.05,0.44,9.83,8.41,7.33,6.03
84,2.22,1.98,12.68,6.02,66.11,0.43,9.87,8.53,7.12,5.83
85,2.14,1.91,12.35,5.8,66.95,0.41,9.91,8.66,6.89,5.64
86,2.04,1.83,11.95,5.59,68.0,0.4,9.93,8.76,6.64,5.52
87,1.93,1.75,11.54,5.4,68.63,0.39,9.95,8.84,6.42,5.42
88,1.84,1.67,11.11,5.18,69.26,0.37,9.96,8.91,6.2,5.34
89,1.72,1.57,10.6,4.96,69.89,0.36,9.97,8.95,5.96,5.25
90,1.61,1.48,10.08,4.75,70.32,0.35,9.96,8.97,5.72,5.15
91,1.5,1.38,9.54,4.53,70.53,0.33,9.95,8.95,5.51,5.05
92,1.39,1.29,8.99,4.29,70.53,0.32,9.93,8.91,5.28,4.93
93,1.28,1.2,8.43,4.08,70.53,0.31,9.91,8.84,5.05,4.81
94,1.16,1.09,7.76,3.86,70.32,0.29,9.87,8.76,4.85,4.7
95,1.05,0.99,7.17,3.62,69.89,0.28,9.83,8.66,4.63,4.56
96,0.93,0.89,6.47,3.41,69.26,0.27,9.78,8.53,4.41,4.44
97,0.81,0.78,5.75,3.17,68.63,0.25,9.73,8.41,4.19,4.3
98,0.7,0.67,5.02,2.95,68.0,0.24,9.66,8.28,3.98,4.17
99,0.58,0.56,4.26,2.71,66.95,0.23,9.6,8.14,3.78,4.03
100,0.47,0.46,3.49,2.49,66.11,0.22,9.51,7.98,3.57,3.89
101,1.61,1.48,10.08,5.06,9.47,0.43,9.23,5.0,3.38,7.6
102,1.72,1.57,10.6,5.28,11.37,0.44,9.28,5.0,3.59,7.8
103,1.84,1.67,11.11,5.49,13.47,0.45,9.31,4.98,3.8,8.0
104,1.95,1.76,11.61,5.71,15.37,0.46,9.34,4.97,4.02,8.19
105,2.07,1.85,12.09,5.92,17.47,0.46,9.35,4.95,4.23,8.39
106,2.17,1.94,12.49,6.14,19.37,0.47,9.37,4.93,4.45,8.57
107,2.27,2.02,12.88,6.33,21.47,0.47,9.37,4.9,4.67,8.76
108,2.38,2.1,13.26,6.55,23.37,0.48,9.37,4.86,4.9,8.94
109,2.47,2.16,13.57,6.74,25.26,0.48,9.35,4.81,5.1,9.12
110,2.56,2.23,13.87,6.93,27.37,0.48,9.34,4.76,5.33,9.29
111,2.65,2.3,14.16,7.12,29.26,0.47,9.31,4.93,5.56,9.45
112,2.72,2.35,14.39,7.29,31.16,0.47,9.28,5.1,5.79,9.57
113,2.8,2.41,14.62,7.46,33.05,0.46,9.23,5.26,6.03,9.61
114,2.85,2.45,14.78,7.6,34.95,0.47,9.18,5.43,6.25,9.57
115,2.91,2.49,14.95,7.75,36.84,0.48,9.12,5.6,6.49,9.45
116,2.97,2.53,15.11,7.87,38.74,0.49,9.07,5.78,6.74,9.29
117,3.01,2.55,15.21,7.96,40.63,0.5,8.99,5.95,6.97,9.12
118,3.02,2.57,15.27,8.03,42.53,0.51,8.92,6.1,7.22,8.94
119,3.04,2.58,15.32,8.06,44.42,0.52,8.83,6.28,7.46,8.76
120,3.04,2.58,15.32,8.08,46.11,0.53,8.73,6.45,7.71,8.57
121,3.04,2.58,15.32,8.06,48.0,0.54,8.77,6.62,7.96,8.39
122,3.04,2.58,15.32,8.03,49.68,0.54,8.91,6.78,8.18,8.19
123,3.04,2.58,15.32,7.96,51.58,0.54,9.03,6.95,8.42,8.0
124,3.02,2.57,15.27,7.87,53.26,0.54,9.15,7.1,8.6,7.8
125,3.01,2.55,15.21,7.75,54.95,0.54,9.26,7.28,8.73,7.6
126,2.97,2.53,15.11,7.6,56.63,0.53,9.35,7.43,8.79,7.41
127,2.91,2.49,14.95,7.46,58.32,0.52,9.44,7.6,8.73,7.23
128,2.85,2.45,14.78,7.29,59.79,0.51,9.53,7.76,8.6,7.03
129,2.8,2.41,14.62,7.12,61.26,0.5,9.61,7.91,8.42,6.84
130,2.72,2.35,14.39,6.93,62.74,0.49,9.68,8.07,8.18,6.64
131,2.65,2.3,14.16,6.74,64.21,0.48,9.75,8.22,7.96,6.44
132,2.56,2.23,13.87,6.55,65.47,0.47,9.8,8.38,7.71,6.25
133,2.47,2.16,13.57,6.33,66.74,0.46,9.85,8.52,7.46,6.05
134,2.38,2.1,13.26,6.14,67.79,0.44,9.89,8.66,7.22,5.85
135,2.27,2.02,12.88,5.92,68.84,0.43,9.92,8.78,6.97,5.78
136,2.17,1.94,12.49,5.71,69.89,0.41,9.95,8.9,6.74,5.7
137,2.07,1.85,12.09,5.49,70.74,0.4,9.97,9.0,6.49,5.6
138,1.95,1.76,11.61,5.28,71.37,0.38,9.98,9.07,6.25,5.52
139,1.84,1.67,11.11,5.06,72.0,0.37,9.99,9.12,6.03,5.42
140,1.72,1.57,10.6,4.84,72.21,0.36,9.98,9.14,5.79,5.3
141,1.61,1.48,10.08,4.6,72.63,0.34,9.97,9.12,5.56,5.21
142,1.5,1.38,9.54,4.39,72.63,0.33,9.95,9.07,5.33,5.09
143,1.37,1.28,8.91,4.15,72.63,0.31,9.92,9.0,5.1,4.97
144,1.26,1.18,8.34,3.93,72.21,0.3,9.89,8.9,4.9,4.85
145,1.14,1.08,7.68,3.72,72.0,0.29,9.85,8.78,4.67,4.72
146,1.02,0.97,6.99,3.48,71.37,0.27,9.8,8.66,4.45,4.58
147,0.9,0.86,6.29,3.24,70.74,0.26,9.75,8.52,4.23,4.44
148,0.78,0.75,5.57,3.02,69.89,0.25,9.68,8.38,4.02,4.3
149,0.67,0.65,4.83,2.78,68.84,0.23,9.61,8.22,3.8,4.17
150,0.54,0.52,3.97,2.57,67.79,0.22,9.53,8.07,3.59,4.01
151,1.72,1.57,10.6,5.16,10.11,0.45,9.33,5.17,3.4,7.64
152,1.84,1.67,11.11,5.37,12.0,0.46,9.37,5.17,3.61,7.84
153,1.97,1.77,11.68,5.59,14.11,0.47,9.41,5.16,3.82,8.04
154,2.09,1.87,12.15,5.8,16.21,0.48,9.42,5.14,4.04,8.21
155,2.19,1.95,12.55,6.02,18.11,0.48,9.44,5.12,4.26,8.41
156,2.31,2.04,13.0,6.24,20.21,0.49,9.46,5.1,4.48,8.61
157,2.42,2.12,13.38,6.45,22.11,0.49,9.46,5.07,4.7,8.8
158,2.52,2.2,13.75,6.67,24.0,0.5,9.46,5.02,4.92,9.0
159,2.63,2.28,14.1,6.88,26.11,0.5,9.44,4.98,5.15,9.19
160,2.72,2.35,14.39,7.07,28.0,0.5,9.42,4.93,5.37,9.37
161,2.82,2.42,14.67,7.27,30.11,0.49,9.41,4.95,5.61,9.57
162,2.89,2.47,14.89,7.46,32.0,0.49,9.37,5.12,5.84,9.72
163,2.97,2.53,15.11,7.63,33.89,0.48,9.33,5.29,6.05,9.8
164,3.04,2.58,15.32,7.79,35.79,0.48,9.28,5.47,6.29,9.72
165,3.1,2.62,15.47,7.94,37.89,0.5,9.22,5.64,6.54,9.57
166,3.14,2.65,15.57,8.06,39.79,0.51,9.16,5.81,6.79,9.37
167,3.18,2.67,15.67,8.18,41.68,0.52,9.09,5.98,7.04,9.19
168,3.22,2.7,15.77,8.25,43.58,0.53,9.01,6.14,7.3,9.0
169,3.24,2.72,15.82,8.3,45.47,0.55,8.92,6.31,7.54,8.8
170,3.24,2.72,15.82,8.32,47.16,0.55,8.83,6.48,7.82,8.61
171,3.24,2.72,15.82,8.3,49.05,0.56,8.79,6.66,8.07,8.41
172,3.24,2.72,15.82,8.25,50.95,0.56,8.92,6.83,8.33,8.21
173,3.24,2.72,15.82,8.18,52.63,0.56,9.04,6.98,8.6,8.04
174,3.22,2.7,15.77,8.06,54.53,0.56,9.16,7.16,8.86,7.84
175,3.18,2.67,15.67,7.94,56.21,0.56,9.27,7.33,9.06,7.64
176,3.14,2.65,15.57,7.79,57.89,0.55,9.37,7.48,9.13,7.45
177,3.1,2.62,15.47,7.63,59.58,0.55,9.46,7.66,9.06,7.25
178,3.04,2.58,15.32,7.46,61.26,0.53,9.55,7.83,8.86,7.05
179,2.97,2.53,15.11,7.27,62.74,0.52,9.63,7.98,8.6,6.86
180,2.89,2.47,14.89,7.07,64.21,0.51,9.69,8.14,8.33,6.66
181,2.82,2.42,14.67,6.88,65.68,0.5,9.75,8.31,8.07,6.46
182,2.72,2.35,14.39,6.67,67.16,0.48,9.81,8.47,7.82,6.27
183,2.63,2.28,14.1,6.45,68.42,0.47,9.86,8.6,7.54,6.09
184,2.52,2.2,13.75,6.24,69.68,0.45,9.9,8.76,7.3,6.03
185,2.42,2.12,13.38,6.02,70.74,0.44,9.94,8.9,7.04,5.95
186,2.31,2.04,13.0,5.8,71.79,0.42,9.96,9.02,6.79,5.87
187,2.19,1.95,12.55,5.59,72.63,0.41,9.98,9.14,6.54,5.78
188,2.09,1.87,12.15,5.37,73.47,0.39,9.99,9.22,6.29,5.68
189,1.97,1.77,11.68,5.16,73.89,0.38,10.0,9.29,6.05,5.58
190,1.84,1.67,11.11,4.92,74.32,0.36,9.99,9.31,5.84,5.48
191,1.72,1.57,10.6,4.7,74.74,0.35,9.98,9.29,5.61,5.36
192,1.61,1.48,10.08,4.46,74.74,0.34,9.96,9.22,5.37,5.25
193,1.48,1.37,9.46,4.24,74.74,0.32,9.94,9.14,5.15,5.13
194,1.36,1.26,8.83,4.0,74.32,0.31,9.9,9.02,4.92,4.99
195,1.23,1.16,8.18,3.76,73.89,0.29,9.86,8.9,4.7,4.85
196,1.11,1.05,7.51,3.55,73.47,0.28,9.81,8.76,4.48,4.72
197,0.99,0.94,6.82,3.31,72.63,0.27,9.75,8.6,4.26,4.58
198,0.86,0.82,6.02,3.07,71.79,0.25,9.69,8.47,4.04,4.44
199,0.74,0.71,5.29,2.85,70.74,0.24,9.63,8.31,3.82,4.28
200,0.61,0.59,4.45,2.61,69.68,0.23,9.55,8.14,3.61,4.15
201,1.84,1.67,11.11,5.23,10.74,0.46,9.42,5.34,3.42,7.64
202,1.95,1.76,11.61,5.44,12.63,0.48,9.45,5.34,3.63,7.84
203,2.09,1.87,12.15,5.68,14.74,0.49,9.49,5.33,3.85,8.04
204,2.21,1.96,12.62,5.9,16.63,0.5,9.51,5.31,4.06,8.23
205,2.33,2.06,13.07,6.12,18.74,0.5,9.53,5.29,4.28,8.43
206,2.43,2.14,13.44,6.35,20.84,0.51,9.55,5.26,4.5,8.62
207,2.56,2.23,13.87,6.57,22.74,0.51,9.55,5.22,4.72,8.82
208,2.67,2.31,14.22,6.79,24.84,0.52,9.55,5.19,4.94,9.02
209,2.78,2.39,14.56,7.0,26.74,0.52,9.53,5.14,5.17,9.21
210,2.87,2.46,14.84,7.19,28.84,0.52,9.51,5.09,5.4,9.41
211,2.97,2.53,15.11,7.41,30.74,0.51,9.49,5.03,5.63,9.61
212,3.06,2.59,15.37,7.6,32.63,0.51,9.45,5.14,5.86,9.8
213,3.14,2.65,15.57,7.79,34.74,0.5,9.42,5.31,6.1,10.0
214,3.22,2.7,15.77,7.96,36.63,0.5,9.37,5.48,6.34,9.8
215,3.28,2.74,15.92,8.13,38.53,0.51,9.31,5.66,6.59,9.61
216,3.34,2.78,16.07,8.27,40.63,0.53,9.25,5.83,6.84,9.41
217,3.38,2.81,16.16,8.39,42.53,0.54,9.17,6.0,7.07,9.21
218,3.42,2.84,16.25,8.49,44.42,0.56,9.09,6.17,7.33,9.02
219,3.44,2.85,16.3,8.54,46.32,0.57,9.01,6.34,7.6,8.82
220,3.44,2.85,16.3,8.56,48.21,0.58,8.92,6.52,7.87,8.62
221,3.44,2.85,16.3,8.54,50.11,0.58,8.81,6.69,8.16,8.43
222,3.44,2.85,16.3,8.49,52.0,0.59,8.92,6.86,8.45,8.23
223,3.44,2.85,16.3,8.39,53.68,0.59,9.04,7.02,8.73,8.04
224,3.42,2.84,16.25,8.27,55.58,0.59,9.16,7.19,9.06,7.84
225,3.38,2.81,16.16,8.13,57.47,0.58,9.27,7.36,9.34,7.64
226,3.34,2.78,16.07,7.96,59.16,0.58,9.37,7.53,9.5,7.45
227,3.28,2.74,15.92,7.79,60.84,0.57,9.46,7.71,9.34,7.25
228,3.22,2.7,15.77,7.6,62.53,0.56,9.55,7.86,9.06,7.05
229,3.14,2.65,15.57,7.41,64.21,0.54,9.63,8.03,8.73,6.86
230,3.06,2.59,15.37,7.19,65.68,0.53,9.7,8.21,8.45,6.66
231,2.97,2.53,15.11,7.0,67.16,0.51,9.76,8.36,8.16,6.46
232,2.87,2.46,14.84,6.79,68.63,0.5,9.82,8.53,7.87,6.33
233,2.78,2.39,14.56,6.57,70.11,0.48,9.87,8.69,7.6,6.27
234,2.67,2.31,14.22,6.35,71.37,0.46,9.91,8.84,7.33,6.21
235,2.56,2.23,13.87,6.12,72.63,0.45,9.94,9.0,7.07,6.13
236,2.43,2.14,13.44,5.9,73.68,0.43,9.97,9.14,6.84,6.05
237,2.33,2.06,13.07,5.68,74.53,0.42,9.99,9.28,6.59,5.95
238,2.21,1.96,12.62,5.44,75.37,0.4,10.0,9.38,6.34,5.85
239,2.09,1.87,12.15,5.23,76.0,0.39,10.0,9.45,6.1,5.76
240,1.95,1.76,11.61,4.99,76.42,0.37,10.0,9.48,5.86,5.64
241,1.84,1.67,11.11,4.77,76.84,0.36,9.99,9.45,5.63,5.52
242,1.7,1.56,10.53,4.53,76.84,0.34,9.97,9.38,5.4,5.4
243,1.58,1.45,9.93,4.29,76.84,0.33,9.94,9.28,5.17,5.27
244,1.45,1.34,9.31,4.08,76.42,0.31,9.91,9.14,4.94,5.13
