id,cost,is_locked_out
1,10.0,0.0
2,0.0,0.0
3,7.0,0.0
4,9.0,0.0
5,3.0,0.0
6,10.0,0.0
7,6.0,0.0
8,10.0,0.0
9,1.0,0.0
10,5.0,0.0
11,6.0,0.0
12,10.0,0.0
13,7.0,0.0
14,6.0,0.0
15,8.0,0.0
16,8.0,0.0
17,1.0,0.0
18,8.0,0.0
19,4.0,0.0
20,6.0,0.0
21,9.0,0.0
22,8.0,0.0
23,4.0,0.0
24,8.0,0.0
25,9.0,0.0
26,5.0,0.0
27,0.0,0.0
28,7.0,0.0
29,9.0,0.0
30,5.0,0.0
31,5.0,0.0
32,2.0,0.0
33,7.0,0.0
34,2.0,0.0
35,10.0,0.0
36,2.0,0.0
37,7.0,0.0
38,3.0,0.0
39,6.0,0.0
40,8.0,0.0
41,3.0,0.0
42,10.0,0.0
43,9.0,0.0
44,5.0,0.0
45,0.0,0.0
46,6.0,0.0
47,7.0,0.0
48,2.0,0.0
49,9.0,0.0
50,7.0,0.0
51,6.0,0.0
52,4.0,0.0
53,5.0,0.0
54,4.0,0.0
55,3.0,0.0
56,8.0,0.0
57,6.0,0.0
58,7.0,0.0
59,9.0,0.0
60,3.0,0.0
61,3.0,0.0
62,1.0,0.0
63,10.0,0.0
64,8.0,0.0
65,1.0,0.0
66,6.0,0.0
67,7.0,0.0
68,9.0,0.0
69,1.0,0.0
70,4.0,0.0
71,7.0,0.0
72,10.0,0.0
73,9.0,0.0
74,7.0,0.0
75,5.0,0.0
76,7.0,0.0
77,2.0,0.0
78,6.0,0.0
79,6.0,0.0
80,1.0,0.0
81,7.0,0.0
82,8.0,0.0
83,1.0,0.0
84,10.0,0.0
85,4.0,0.0
86,3.0,0.0
87,5.0,0.0
88,5.0,0.0
89,9.0,0.0
90,5.0,0.0
91,1.0,0.0
92,5.0,0.0
93,9.0,0.0
94,10.0,0.0
95,0.0,0.0
96,6.0,0.0
97,3.0,0.0
98,4.0,0.0
99,8.0,0.0
100,8.0,0.0
101,6.0,0.0
102,5.0,0.0
103,9.0,0.0
104,2.0,0.0
105,10.0,0.0
106,9.0,0.0
107,2.0,0.0
108,1.0,0.0
109,6.0,0.0
110,2.0,0.0
111,10.0,0.0
112,4.0,0.0
113,6.0,0.0
114,5.0,0.0
115,6.0,0.0
116,10.0,0.0
117,8.0,0.0
118,6.0,0.0
119,9.0,0.0
120,7.0,0.0
121,0.0,0.0
122,5.0,0.0
123,9.0,0.0
124,10.0,0.0
125,9.0,0.0
126,6.0,0.0
127,0.0,0.0
128,3.0,0.0
129,8.0,0.0
130,4.0,0.0
131,5.0,0.0
132,0.0,0.0
133,8.0,0.0
134,8.0,0.0
135,2.0,0.0
136,4.0,0.0
137,1.0,0.0
138,7.0,0.0
139,4.0,0.0
140,7.0,0.0
141,0.0,0.0
142,0.0,0.0
143,1.0,0.0
144,5.0,0.0
145,0.0,0.0
146,0.0,0.0
147,1.0,0.0
148,10.0,0.0
149,5.0,0.0
150,8.0,0.0
151,4.0,0.0
152,0.0,0.0
153,6.0,0.0
154,0.0,0.0
155,8.0,0.0
156,8.0,0.0
157,2.0,0.0
158,4.0,0.0
159,7.0,0.0
160,0.0,0.0
161,0.0,0.0
162,8.0,0.0
163,4.0,0.0
164,9.0,0.0
165,2.0,0.0
166,9.0,0.0
167,10.0,0.0
168,1.0,0.0
169,10.0,0.0
170,9.0,0.0
171,6.0,0.0
172,6.0,0.0
173,3.0,0.0
174,5.0,0.0
175,1.0,0.0
176,10.0,0.0
177,8.0,0.0
178,9.0,0.0
179,1.0,0.0
180,1.0,0.0
181,8.0,0.0
182,5.0,0.0
183,10.0,0.0
184,6.0,0.0
185,10.0,0.0
186,10.0,0.0
187,9.0,0.0
188,0.0,0.0
189,9.0,0.0
190,7.0,0.0
191,6.0,0.0
192,8.0,0.0
193,8.0,0.0
194,3.0,0.0
195,9.0,0.0
196,1.0,0.0
197,8.0,0.0
198,4.0,0.0
199,10.0,0.0
200,2.0,0.0
201,9.0,0.0
202,3.0,0.0
203,2.0,0.0
204,5.0,0.0
205,0.0,0.0
206,8.0,0.0
207,5.0,0.0
208,2.0,0.0
209,8.0,0.0
210,10.0,0.0
211,3.0,0.0
212,10.0,0.0
213,9.0,0.0
214,4.0,0.0
215,7.0,0.0
216,4.0,0.0
217,1.0,0.0
218,0.0,0.0
219,9.0,0.0
220,4.0,0.0
221,9.0,0.0
222,8.0,0.0
223,10.0,0.0
224,0.0,0.0
225,3.0,0.0
226,7.0,0.0
227,7.0,0.0
228,4.0,0.0
229,3.0,0.0
230,6.0,0.0
231,6.0,0.0
232,1.0,0.0
233,0.0,0.0
234,0.0,0.0
235,3.0,0.0
236,5.0,0.0
237,8.0,0.0
238,3.0,0.0
239,10.0,0.0
240,1.0,0.0
241,4.0,0.0
242,10.0,0.0
243,6.0,0.0
244,3.0,0.0
245,8.0,0.0
246,1.0,0.0
247,5.0,0.0
248,4.0,0.0
249,5.0,0.0
250,9.0,0.0
251,1.0,0.0
252,1.0,0.0
253,1.0,0.0
254,9.0,0.0
255,8.0,0.0
256,1.0,0.0
257,1.0,0.0
258,7.0,0.0
259,0.0,0.0
260,9.0,0.0
261,4.0,0.0
262,2.0,0.0
263,1.0,0.0
264,1.0,0.0
265,10.0,0.0
266,6.0,0.0
267,2.0,0.0
268,3.0,0.0
269,9.0,0.0
270,5.0,0.0
271,0.0,0.0
272,4.0,0.0
273,1.0,0.0
274,5.0,0.0
275,6.0,0.0
276,10.0,0.0
277,1.0,0.0
278,0.0,0.0
279,9.0,0.0
280,9.0,0.0
281,4.0,0.0
282,3.0,0.0
283,8.0,0.0
284,7.0,0.0
285,1.0,0.0
286,10.0,0.0
287,0.0,0.0
288,8.0,0.0
289,8.0,0.0
290,10.0,0.0
291,2.0,0.0
292,4.0,0.0
293,3.0,0.0
294,9.0,0.0
295,2.0,0.0
296,2.0,0.0
297,6.0,0.0
298,10.0,0.0
299,7.0,0.0
300,0.0,0.0
301,4.0,0.0
302,3.0,0.0
303,4.0,0.0
304,4.0,0.0
305,3.0,0.0
306,10.0,0.0
307,1.0,0.0
308,1.0,0.0
309,0.0,0.0
310,7.0,0.0
311,3.0,0.0
312,0.0,0.0
313,5.0,0.0
314,9.0,0.0
315,6.0,0.0
316,4.0,0.0
317,10.0,0.0
318,9.0,0.0
319,10.0,0.0
320,1.0,0.0
321,8.0,0.0
322,5.0,0.0
323,4.0,0.0
324,2.0,0.0
325,4.0,0.0
326,7.0,0.0
327,7.0,0.0
328,5.0,0.0
329,4.0,0.0
330,6.0,0.0
331,9.0,0.0
332,2.0,0.0
333,4.0,0.0
334,2.0,0.0
335,8.0,0.0
336,9.0,0.0
337,6.0,0.0
338,6.0,0.0
339,9.0,0.0
340,0.0,0.0
341,4.0,0.0
342,7.0,0.0
343,2.0,0.0
344,7.0,0.0
345,2.0,0.0
346,0.0,0.0
347,3.0,0.0
348,0.0,0.0
349,9.0,0.0
350,3.0,0.0
351,2.0,0.0
352,7.0,0.0
353,5.0,0.0
354,4.0,0.0
355,6.0,0.0
356,0.0,0.0
357,6.0,0.0
358,10.0,0.0
359,2.0,0.0
360,5.0,0.0
361,7.0,0.0
362,10.0,0.0
363,0.0,0.0
364,6.0,0.0
365,7.0,0.0
366,1.0,0.0
367,7.0,0.0
368,5.0,0.0
369,4.0,0.0
370,3.0,0.0
371,4.0,0.0
372,6.0,0.0
373,9.0,0.0
374,6.0,0.0
375,9.0,0.0
376,9.0,0.0
377,8.0,0.0
378,2.0,0.0
379,10.0,0.0
380,5.0,0.0
381,0.0,0.0
382,6.0,0.0
383,2.0,0.0
384,10.0,0.0
385,4.0,0.0
386,4.0,0.0
387,7.0,0.0
388,1.0,0.0
389,10.0,0.0
390,4.0,0.0
391,0.0,0.0
